epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0576,2.54647,11.6771,0.69867,3.08761,0.0759,33.6978,0.87738,1,0.9819,0.32138,0,0,0,0,2.47215,11.8106,0.68512,0.96186,0.13057,0,0.00032,0.00032,0.00032
2,34.1534,1.59007,11.3798,0.62641,0.73889,0.04503,22.332,0.95644,0.97584,0.96187,0.54161,0,0,0,0,1.73794,11.5641,0.60427,0.62985,0.07114,0,0.000653466,0.000653466,0.000653466
3,38.3928,1.52294,11.0318,0.54392,0.58131,0.04104,15.2452,0.93545,0.97778,0.96954,0.41183,0,0,0,0,2.03397,11.4848,0.5117,0.65249,0.08691,0,0.0009802,0.0009802,0.0009802
4,42.5362,1.50382,10.6663,0.49307,0.56621,0.04103,12.6329,0.93514,0.97778,0.96306,0.40088,0,0,0,0,2.04251,11.2074,0.48695,0.70235,0.09136,0,0.0013002,0.0013002,0.0013002
5,46.6816,1.54878,10.5152,0.46306,0.54457,0.04163,11.3768,0.89768,0.97487,0.97487,0.50764,0,0,0,0,1.68217,11.7617,0.65522,0.59484,0.07016,0,0.00161347,0.00161347,0.00161347
6,50.81,1.56269,10.5264,0.44213,0.57049,0.04248,11.1601,0.97648,0.95556,0.96932,0.46095,0,0,0,0,1.75924,11.1407,0.61191,0.7363,0.07707,0,0.001901,0.001901,0.001901
7,55.1091,1.64033,10.191,0.43147,0.55529,0.04644,10.7826,0.90781,0.93333,0.94909,0.38849,0,0,0,0,2.26458,11.5491,0.50654,0.77464,0.10656,0,0.0018812,0.0018812,0.0018812
8,59.5149,1.62591,10.1771,0.4193,0.58889,0.04576,10.4502,0.92289,0.93333,0.95182,0.46345,0,0,0,0,1.7784,11.1718,0.53519,0.53179,0.07675,0,0.0018614,0.0018614,0.0018614
9,63.845,1.48119,9.9721,0.41601,0.48985,0.04038,9.84105,0.85981,0.93333,0.92901,0.4265,0,0,0,0,1.96293,10.9206,0.62498,0.80937,0.0896,0,0.0018416,0.0018416,0.0018416
10,68.1496,1.53061,10.0464,0.40693,0.52822,0.04178,10.0852,0.99982,1,0.995,0.6006,0,0,0,0,1.57216,11.0843,0.50845,0.36332,0.06815,0,0.0018218,0.0018218,0.0018218
11,72.4258,1.38426,9.66317,0.3822,0.49385,0.03757,9.28202,0.95637,1,0.995,0.51038,0,0,0,0,1.87508,10.4063,0.43324,0.48853,0.08367,0,0.001802,0.001802,0.001802
12,76.6837,1.43358,9.41741,0.36946,0.5659,0.03894,9.06852,0.97434,0.97778,0.99292,0.54972,0,0,0,0,1.66976,8.254,0.42728,0.40249,0.06958,0,0.0017822,0.0017822,0.0017822
13,80.8863,1.43543,9.41478,0.37601,0.51732,0.03938,8.79172,0.9547,0.97778,0.98954,0.51268,0,0,0,0,1.71546,8.32303,0.42051,0.48798,0.07142,0,0.0017624,0.0017624,0.0017624
14,85.0651,1.41628,9.21129,0.37357,0.53319,0.0374,8.79361,0.99447,1,0.995,0.48058,0,0,0,0,1.91275,9.36642,0.39922,0.48514,0.08126,0,0.0017426,0.0017426,0.0017426
15,89.285,1.3952,8.97643,0.36202,0.51396,0.03741,8.27934,0.97823,0.99861,0.9913,0.55263,0.02249,0.02222,0.00058,6e-05,1.66166,8.09489,0.41874,0.52772,0.06996,0,0.0017228,0.0017228,0.0017228
