epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,26.295,2.84212,11.5765,0.70229,3.47639,0.0834,34.131,0.38684,0.45455,0.44348,0.20946,0,0,0,0,2.2879,11.9087,0.69363,1.63681,0.08815,0,0.00016,0.00016,0.00016
2,28.638,2.11,11.7585,0.70458,1.65714,0.06305,30.1284,0.89001,0.95455,0.94467,0.25305,0,0,0,0,2.6788,11.8322,0.69153,1.16592,0.12961,0,0.000336634,0.000336634,0.000336634
3,30.8218,1.71906,11.5038,0.7234,0.74016,0.04937,23.1823,0.99771,1,0.995,0.61216,0,0,0,0,1.39136,11.4962,0.72069,0.39068,0.0535,0,0.000509704,0.000509704,0.000509704
4,32.9203,1.6096,11.2661,0.70191,0.71688,0.04705,20.2671,0.99686,1,0.995,0.60775,0,0,0,0,1.37146,10.7988,0.65607,0.32703,0.05381,0,0.00067921,0.00067921,0.00067921
5,35.2024,1.51109,11.0927,0.6674,0.66767,0.04191,17.1302,0.99755,1,0.995,0.34335,0,0,0,0,2.5257,11.1576,0.69116,0.74955,0.11276,0,0.000845152,0.000845152,0.000845152
6,37.3046,1.52443,11.1271,0.6725,0.57904,0.04264,15.3096,0.99796,1,0.995,0.40652,0,0,0,0,2.23223,10.3086,0.64761,0.51966,0.08903,0,0.00100753,0.00100753,0.00100753
7,39.3764,1.59319,11.0531,0.67002,0.60622,0.04472,14.7681,1,0.98287,0.995,0.54039,0,0,0,0,1.65837,10.5532,0.58762,0.45405,0.06866,0,0.00116634,0.00116634,0.00116634
8,41.4464,1.62137,10.8027,0.66095,0.57241,0.04539,13.1727,0.94248,1,0.98543,0.39873,0,0,0,0,2.16214,10.6961,0.55558,0.52378,0.08396,0,0.00132159,0.00132159,0.00132159
9,43.5122,1.56558,10.755,0.61626,0.63173,0.04483,13.1239,0.95324,0.92714,0.98307,0.44842,0,0,0,0,1.86854,10.4629,0.56381,0.67202,0.07567,0,0.00147328,0.00147328,0.00147328
10,45.574,1.60596,10.7252,0.6133,0.58851,0.04429,12.3714,0.99753,1,0.995,0.52305,0,0,0,0,1.56653,11.4221,0.59246,0.37254,0.06241,0,0.0016214,0.0016214,0.0016214
11,47.6341,1.62406,10.597,0.59643,0.63105,0.04435,11.8484,1,0.99721,0.995,0.38371,0,0,0,0,2.07244,10.571,0.62652,0.55431,0.08629,0,0.00176596,0.00176596,0.00176596
12,49.7294,1.49252,10.5259,0.60053,0.56861,0.0424,11.5827,0.98343,0.90909,0.97843,0.42791,0,0,0,0,1.94828,10.2662,0.6088,0.59035,0.07812,0,0.0017822,0.0017822,0.0017822
13,51.8585,1.7776,10.5662,0.59802,0.65146,0.05658,11.9774,0.86434,0.95455,0.89638,0.52775,0,0,0,0,1.53361,11.0862,0.54202,0.58118,0.0599,0,0.0017624,0.0017624,0.0017624
14,54.0736,1.4635,10.0178,0.59427,0.57033,0.04002,10.6743,0.91177,0.93992,0.93091,0.41762,0,0,0,0,1.89364,10.6615,0.55312,0.78047,0.07809,0,0.0017426,0.0017426,0.0017426
15,56.2666,1.56319,10.2978,0.57468,0.56869,0.04557,11.305,0.88673,0.86364,0.88834,0.26364,0,0,0,0,2.46436,10.4754,0.5269,0.91676,0.11046,0,0.0017228,0.0017228,0.0017228
16,58.4658,1.55814,10.2388,0.59169,0.56596,0.04374,10.5882,0.89357,0.76366,0.74806,0.2,0,0,0,0,2.79992,10.5705,0.5529,0.90552,0.1311,0,0.001703,0.001703,0.001703
17,60.6323,1.46366,10.2123,0.57712,0.60174,0.03953,10.336,0.94278,0.86364,0.91067,0.36877,0,0,0,0,2.17175,10.3039,0.52325,0.71565,0.09266,0,0.0016832,0.0016832,0.0016832
18,62.7834,1.53509,10.2154,0.58592,0.5728,0.04338,10.4789,0.95072,0.95455,0.91591,0.47798,0,0,0,0,1.71431,10.5582,0.51509,0.44806,0.07208,0,0.0016634,0.0016634,0.0016634
19,64.925,1.43483,9.94524,0.57455,0.51582,0.03798,9.87812,0.91291,0.953,0.9137,0.49761,0,0,0,0,1.6927,9.02063,0.49866,0.50335,0.06778,0,0.0016436,0.0016436,0.0016436
20,67.0617,1.47713,10.3219,0.55596,0.55628,0.0423,11.3324,0.995,1,0.995,0.37359,0,0,0,0,1.96282,8.34395,0.50589,0.54016,0.07978,0,0.0016238,0.0016238,0.0016238
21,69.191,1.65066,9.86431,0.56978,0.60417,0.04938,10.0819,0.99627,1,0.995,0.52062,0,0,0,0,1.63588,9.0537,0.53831,0.41992,0.06394,0,0.001604,0.001604,0.001604
22,71.3182,1.48133,9.59514,0.5705,0.52721,0.0408,9.63679,0.99434,0.95455,0.9902,0.58208,0,0,0,0,1.46203,9.52012,0.51323,0.39439,0.05622,0,0.0015842,0.0015842,0.0015842
23,73.4574,1.52505,9.72611,0.55852,0.55476,0.04195,9.68482,1,0.99621,0.995,0.54805,0,0,0,0,1.73441,8.7261,0.52191,0.4158,0.06876,0,0.0015644,0.0015644,0.0015644
