epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,37.342,1.88213,11.3022,0.70371,1.93156,0.04209,20.2996,0.89738,0.93103,0.93094,0.24793,0,0,0,0,2.76327,10.6448,0.61793,1.12252,0.10076,0,0.00042,0.00042,0.00042
2,42.5045,1.43869,9.92576,0.63433,0.58621,0.02964,9.01039,0.93534,0.9977,0.98874,0.53756,0,0,0,0,1.66901,9.46439,0.37419,0.45418,0.05085,0,0.000851486,0.000851486,0.000851486
3,48.0219,1.4257,9.31225,0.54122,0.54689,0.02886,7.23669,1,0.99991,0.995,0.55252,0,0,0,0,1.69141,10.3068,0.33112,0.44192,0.0522,0,0.00127426,0.00127426,0.00127426
4,53.2776,1.38556,9.08087,0.50464,0.51906,0.0279,6.41501,0.99887,1,0.995,0.52713,0,0,0,0,1.71506,9.29795,0.33714,0.40176,0.0558,0,0.00168832,0.00168832,0.00168832
5,58.5177,1.45532,8.99334,0.45624,0.54482,0.03089,6.5058,1,0.98019,0.99483,0.68937,0,0,0,0,1.11784,8.84771,0.33175,0.31581,0.03441,0,0.0019208,0.0019208,0.0019208
6,63.8019,1.50204,8.50332,0.43424,0.55613,0.0317,5.90347,0.99021,1,0.995,0.64668,0,0,0,0,1.39759,7.91861,0.2817,0.33992,0.04,0,0.001901,0.001901,0.001901
7,68.9843,1.36652,8.39289,0.41128,0.50184,0.02806,5.58571,0.99771,1,0.995,0.74241,0,0,0,0,1.02278,8.29879,0.30827,0.25171,0.0298,0,0.0018812,0.0018812,0.0018812
8,74.267,1.33663,7.91015,0.39799,0.52417,0.02812,5.15931,0.99295,1,0.995,0.67626,0,0,0,0,1.22824,6.75211,0.29285,0.29416,0.03551,0,0.0018614,0.0018614,0.0018614
9,79.5118,1.34397,7.45965,0.3847,0.50737,0.02832,4.55424,1,0.99952,0.995,0.53824,0.01751,0.01724,0.00028,3e-05,1.73981,6.50228,0.30157,0.4106,0.05592,0,0.0018416,0.0018416,0.0018416
10,84.7672,1.29891,7.35816,0.3714,0.49107,0.02581,4.34703,1,0.99896,0.995,0.66686,0.30357,0.31034,0.11357,0.01387,1.25339,5.22734,0.31825,0.30627,0.0355,0,0.0018218,0.0018218,0.0018218
11,90.0167,1.32571,7.47265,0.36144,0.46184,0.02702,4.53576,1,0.99974,0.995,0.58958,0.40922,0.39655,0.21091,0.02892,1.53114,5.07621,0.26533,0.35448,0.0477,0,0.001802,0.001802,0.001802
12,95.263,1.31139,7.30771,0.35524,0.44095,0.02693,4.31104,0.9197,1,0.98736,0.5724,0.29544,0.25862,0.12706,0.01952,1.49186,5.49606,0.30467,0.43286,0.05014,0,0.0017822,0.0017822,0.0017822
13,100.505,1.28906,7.24924,0.34646,0.44416,0.02547,4.20402,0.99784,1,0.995,0.49309,0.12925,0.12069,0.02215,0.00315,1.90927,5.72008,0.31067,0.48625,0.06257,0,0.0017624,0.0017624,0.0017624
14,105.81,1.19423,6.69818,0.32733,0.40966,0.02394,3.56531,0.997,1,0.995,0.66384,0.67031,0.67241,0.54709,0.09396,1.28407,4.29413,0.29018,0.30286,0.03771,0,0.0017426,0.0017426,0.0017426
15,111.094,1.21729,6.8601,0.33851,0.43602,0.02495,3.84899,0.99858,1,0.995,0.67821,0.6535,0.65517,0.55026,0.084,1.26216,4.31992,0.26404,0.31411,0.037,0,0.0017228,0.0017228,0.0017228
16,116.376,1.16455,6.83048,0.34406,0.41538,0.02307,3.87302,0.995,1,0.995,0.56558,0.68807,0.65517,0.59348,0.10261,1.60474,4.39825,0.27224,0.377,0.05049,0,0.001703,0.001703,0.001703
17,121.644,1.22908,6.59105,0.31211,0.44814,0.02349,3.22447,0.98305,0.9997,0.99449,0.66863,0.65349,0.5853,0.52453,0.09007,1.2509,4.41548,0.30283,0.31293,0.03524,0,0.0016832,0.0016832,0.0016832
18,126.928,1.1882,6.34494,0.33266,0.39752,0.02353,3.1379,0.99889,1,0.995,0.47134,0.13791,0.13793,0.05052,0.00857,1.95646,5.55224,0.31727,0.44497,0.06639,0,0.0016634,0.0016634,0.0016634
19,132.185,1.3195,6.32945,0.32449,0.42592,0.02671,3.10864,0.9995,1,0.995,0.72771,0.67001,0.67241,0.57676,0.10633,1.03695,4.22138,0.26995,0.25996,0.03272,0,0.0016436,0.0016436,0.0016436
20,137.521,1.19823,6.13893,0.32678,0.37973,0.02406,2.86143,0.99823,1,0.995,0.52104,0.61952,0.62069,0.5469,0.10998,1.78028,4.24151,0.29106,0.41046,0.05716,0,0.0016238,0.0016238,0.0016238
21,142.79,1.18803,5.96539,0.34031,0.38303,0.02272,2.62058,1,0.98251,0.99483,0.69518,0.61347,0.60345,0.53791,0.11254,1.16652,4.33041,0.29416,0.29981,0.0339,0,0.001604,0.001604,0.001604
22,148.112,1.21297,6.02928,0.34222,0.42013,0.02359,2.63238,0.99719,1,0.995,0.60617,0.43076,0.43103,0.29279,0.03381,1.47609,4.96375,0.27931,0.33242,0.0469,0,0.0015842,0.0015842,0.0015842
23,153.42,1.1933,6.15922,0.32727,0.40909,0.02335,2.75333,0.98148,1,0.99483,0.73844,0.76149,0.77586,0.69132,0.14915,1.03687,3.97994,0.26104,0.2632,0.02987,0,0.0015644,0.0015644,0.0015644
24,158.786,1.17211,5.90555,0.32645,0.39223,0.02286,2.63585,1,0.99767,0.995,0.72621,0.81012,0.80915,0.76383,0.20233,1.12699,3.68189,0.25165,0.27374,0.03155,0,0.0015446,0.0015446,0.0015446
25,164.097,1.13332,5.82371,0.33099,0.37867,0.02242,2.59221,0.99848,1,0.995,0.60433,0.68804,0.68454,0.60875,0.13085,1.48741,4.13547,0.25723,0.35318,0.04531,0,0.0015248,0.0015248,0.0015248
26,169.392,1.07538,5.83993,0.31788,0.3996,0.02046,2.41607,1,0.99726,0.995,0.67019,0.80989,0.80796,0.75454,0.13619,1.31184,3.98247,0.25735,0.31964,0.03774,0,0.001505,0.001505,0.001505
27,174.667,1.04322,5.7948,0.32729,0.39529,0.02061,2.40803,0.99862,1,0.995,0.63839,0.55834,0.56897,0.42424,0.07599,1.36683,4.40502,0.25054,0.33895,0.04229,0,0.0014852,0.0014852,0.0014852
28,179.975,1.11893,5.65314,0.30872,0.38681,0.02224,2.71138,1,0.99573,0.995,0.47384,0.65392,0.65161,0.51347,0.09896,1.97427,4.18781,0.2521,0.49588,0.06429,0,0.0014654,0.0014654,0.0014654
29,185.226,1.12115,5.90943,0.30387,0.38732,0.02269,2.59975,0.99928,1,0.995,0.73103,0.80912,0.81034,0.76247,0.21276,1.04877,3.64353,0.2429,0.26615,0.02838,0,0.0014456,0.0014456,0.0014456
30,190.549,1.08434,5.84198,0.29567,0.40288,0.02078,2.32891,0.99925,1,0.995,0.69889,0.8769,0.86207,0.85762,0.25027,1.12416,3.39533,0.23529,0.26124,0.03014,0,0.0014258,0.0014258,0.0014258
31,195.865,1.10758,5.53573,0.29843,0.39102,0.02247,2.22275,0.99898,1,0.995,0.69289,0.82686,0.82759,0.82922,0.2508,1.23582,3.4747,0.238,0.2974,0.03675,0,0.001406,0.001406,0.001406
32,201.202,1.10993,5.7975,0.2886,0.37562,0.02045,2.15514,0.99897,1,0.995,0.67148,0.86167,0.86207,0.84486,0.27391,1.28576,3.27238,0.24666,0.30389,0.03722,0,0.0013862,0.0013862,0.0013862
33,206.553,1.10602,5.78711,0.29083,0.39293,0.0219,2.38983,0.99892,1,0.995,0.73619,0.86114,0.86207,0.83784,0.16093,0.99681,3.77933,0.24025,0.24158,0.02782,0,0.0013664,0.0013664,0.0013664
34,211.844,1.11329,5.53996,0.28746,0.3754,0.02263,2.39676,0.99872,1,0.995,0.6424,0.84394,0.84483,0.80253,0.23986,1.34511,3.43809,0.23987,0.32085,0.03818,0,0.0013466,0.0013466,0.0013466
35,217.134,1.05979,5.31212,0.29132,0.35991,0.01978,1.85568,1,0.99878,0.995,0.75885,0.91369,0.9126,0.90441,0.26398,0.9817,3.37482,0.25003,0.2585,0.02655,0,0.0013268,0.0013268,0.0013268
36,222.453,1.05685,5.51831,0.29593,0.37181,0.02031,2.23896,0.99896,1,0.995,0.70229,0.84432,0.84164,0.8023,0.20405,1.15111,3.54212,0.24062,0.27266,0.03302,0,0.001307,0.001307,0.001307
37,227.741,1.03793,5.43459,0.27996,0.36071,0.02023,1.98157,0.99897,1,0.995,0.70433,0.74125,0.74138,0.67392,0.12395,1.18867,4.12808,0.24176,0.27933,0.03266,0,0.0012872,0.0012872,0.0012872
38,233.029,1.06328,5.48222,0.27982,0.3674,0.02122,2.07379,0.99887,1,0.995,0.52651,0.4403,0.43103,0.29058,0.03273,1.81176,4.95856,0.24699,0.4219,0.05704,0,0.0012674,0.0012674,0.0012674
39,238.358,1.09706,5.56781,0.2801,0.36972,0.02184,2.26438,0.99846,1,0.995,0.73419,0.80857,0.80114,0.78133,0.17801,1.06615,3.71389,0.23814,0.26043,0.0283,0,0.0012476,0.0012476,0.0012476
40,243.68,1.03484,5.58713,0.26892,0.36799,0.01927,2.06979,0.99889,1,0.995,0.64678,0.82667,0.82759,0.75843,0.1664,1.37721,3.9534,0.24678,0.3391,0.04066,0,0.0012278,0.0012278,0.0012278
41,248.985,1.02065,5.43071,0.27391,0.35397,0.01922,2.0461,1,0.9978,0.995,0.60833,0.79276,0.79149,0.7571,0.20745,1.55684,3.59616,0.2383,0.37546,0.0478,0,0.001208,0.001208,0.001208
42,254.309,0.9828,5.23555,0.28239,0.34024,0.0187,1.88832,0.99896,1,0.995,0.69449,0.84442,0.84483,0.8032,0.19713,1.16968,3.59468,0.23235,0.27607,0.03282,0,0.0011882,0.0011882,0.0011882
43,259.591,0.97955,5.11399,0.27198,0.33575,0.01795,1.64401,0.99904,1,0.995,0.70851,0.74064,0.74138,0.64219,0.14256,1.13082,4.00586,0.23218,0.28281,0.03169,0,0.0011684,0.0011684,0.0011684
44,264.931,0.98486,5.20212,0.29002,0.35165,0.01894,1.97068,0.99901,1,0.995,0.65268,0.93006,0.93103,0.92955,0.27348,1.34896,3.19248,0.23901,0.33052,0.04025,0,0.0011486,0.0011486,0.0011486
45,270.217,0.96249,4.84621,0.28049,0.33995,0.01847,1.49918,0.99898,1,0.995,0.76685,0.89564,0.89655,0.8795,0.2453,0.94265,3.38599,0.24453,0.23588,0.02638,0,0.0011288,0.0011288,0.0011288
46,275.599,0.97497,4.97555,0.28164,0.35284,0.0187,1.57435,0.99907,1,0.995,0.74265,0.91291,0.91379,0.90277,0.29003,0.99766,3.14586,0.25382,0.23705,0.02754,0,0.001109,0.001109,0.001109
47,280.976,1.01918,5.06156,0.26775,0.3777,0.01978,1.53686,0.999,1,0.995,0.61546,0.89565,0.89655,0.88027,0.31126,1.48176,3.09251,0.24552,0.34884,0.04634,0,0.0010892,0.0010892,0.0010892
48,286.323,1.00732,4.94988,0.28522,0.37628,0.01985,1.50956,0.99903,1,0.995,0.77664,0.91291,0.91379,0.90489,0.34092,0.90796,2.94303,0.24067,0.21929,0.02489,0,0.0010694,0.0010694,0.0010694
49,291.688,0.97753,4.78886,0.28352,0.33055,0.01877,1.25716,0.99889,1,0.995,0.74468,0.89585,0.89655,0.88703,0.29614,0.99621,3.13795,0.23768,0.2349,0.02886,0,0.0010496,0.0010496,0.0010496
50,297.027,0.926,4.85038,0.2703,0.30995,0.01767,1.29865,1,0.99933,0.995,0.69518,0.8965,0.89602,0.8851,0.30139,1.22961,3.10628,0.2516,0.29816,0.03548,0,0.0010298,0.0010298,0.0010298
51,302.391,0.93772,4.75401,0.26313,0.33676,0.01737,0.96689,0.98196,1,0.995,0.78657,0.88035,0.89655,0.88359,0.33182,0.90047,2.95636,0.24993,0.24116,0.02374,0,0.00101,0.00101,0.00101
52,307.823,0.91961,4.86919,0.28399,0.30208,0.01786,1.36658,0.9987,1,0.995,0.75962,0.94704,0.94828,0.93969,0.3289,0.96141,2.95575,0.24196,0.23266,0.02562,0,0.0009902,0.0009902,0.0009902
53,313.085,0.93991,4.93648,0.26925,0.31677,0.01726,1.22794,0.99905,1,0.995,0.78876,0.93199,0.93103,0.93134,0.34599,0.89646,2.86281,0.23884,0.21976,0.02318,0,0.0009704,0.0009704,0.0009704
54,318.397,0.8985,4.62569,0.27282,0.29635,0.01735,1.14136,0.99899,1,0.995,0.78405,0.91287,0.91379,0.90558,0.31759,0.86431,2.95579,0.23555,0.20836,0.02369,0,0.0009506,0.0009506,0.0009506
55,323.678,0.87973,4.74997,0.27846,0.31033,0.01657,1.31131,1,0.9981,0.995,0.77828,0.94818,0.94638,0.92716,0.29367,0.94211,3.04834,0.24192,0.24441,0.0255,0,0.0009308,0.0009308,0.0009308
56,329.035,0.89073,4.67916,0.26464,0.31595,0.01674,1.23429,0.99936,1,0.995,0.83096,0.93033,0.93103,0.92684,0.31834,0.68403,3.0046,0.24484,0.17975,0.01822,0,0.000911,0.000911,0.000911
57,334.355,0.84744,4.72742,0.26714,0.2982,0.01547,0.97481,0.99905,1,0.995,0.76872,0.94735,0.94828,0.94305,0.33146,0.87026,2.92453,0.23397,0.21201,0.02428,0,0.0008912,0.0008912,0.0008912
58,339.715,0.8484,4.69548,0.2697,0.29736,0.01541,1.31739,0.99901,1,0.995,0.83281,0.91306,0.91379,0.89692,0.33728,0.71424,2.93341,0.23327,0.18157,0.01895,0,0.0008714,0.0008714,0.0008714
59,345.025,0.83073,4.60748,0.26602,0.29278,0.01525,1.18785,0.999,1,0.995,0.78436,0.89563,0.89655,0.8733,0.2676,0.8838,3.23785,0.23969,0.21853,0.02447,0,0.0008516,0.0008516,0.0008516
60,350.346,0.79496,4.49366,0.27114,0.26512,0.01434,1.07137,0.99904,1,0.995,0.83108,0.94734,0.94828,0.9434,0.37408,0.6839,2.69807,0.22554,0.17647,0.01817,0,0.0008318,0.0008318,0.0008318
61,355.64,0.87448,4.55293,0.26214,0.31307,0.01659,0.97375,0.99903,1,0.995,0.75107,0.89607,0.89655,0.87535,0.34015,0.96038,2.89377,0.22634,0.22828,0.02743,0,0.000812,0.000812,0.000812
62,360.975,0.90801,4.5741,0.25303,0.31644,0.01642,0.91805,0.99901,1,0.995,0.81393,0.93037,0.93103,0.92566,0.35274,0.77533,2.77198,0.22586,0.18983,0.0207,0,0.0007922,0.0007922,0.0007922
63,366.304,0.85182,4.50958,0.26379,0.30296,0.01609,0.99766,0.999,1,0.995,0.78836,0.94733,0.94828,0.93609,0.31135,0.85489,3.02756,0.24207,0.21416,0.02387,0,0.0007724,0.0007724,0.0007724
