epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0441,1.44606,15.096,0.64577,1.02408,1.70756,0.81761,0.87931,0.91188,0.53891,0,0,0,0,1.43286,14.1689,0.46576,0.80321,1.90684,0.000659004,0.000659004,0.000659004
2,65.6402,1.27147,14.1878,0.53563,0.73689,1.55406,0.90097,0.94112,0.96309,0.46295,0,0,0,0,1.68354,13.7481,0.42105,1.41999,2.36036,0.00131255,0.00131255,0.00131255
3,76.2476,1.24045,13.6061,0.47829,0.74519,1.5284,0.92301,0.96121,0.94458,0.47593,0,0,0,0,1.62502,12.4391,0.38976,0.90894,2.15405,0.00195289,0.00195289,0.00195289
4,87.2265,1.2254,13.0144,0.44887,0.71936,1.51432,0.89279,0.95259,0.97004,0.5822,0.019,0.01724,0.00053,6e-05,1.32166,11.6207,0.45904,0.7563,1.74454,0.0019406,0.0019406,0.0019406
5,97.8158,1.14561,12.6885,0.44192,0.66662,1.45014,0.94208,0.98152,0.9871,0.60376,0.01926,0.01724,0.00046,5e-05,1.33504,11.193,0.35426,0.6504,1.70338,0.0019208,0.0019208,0.0019208
6,108.636,1.10208,12.3436,0.42217,0.63926,1.42147,0.93802,0.97848,0.9909,0.63122,0.10989,0.12069,0.01848,0.00206,1.21272,10.4425,0.35584,0.61896,1.60931,0.001901,0.001901,0.001901
7,119.358,1.08801,12.065,0.41401,0.62362,1.40757,0.86537,0.94202,0.96036,0.60527,0.21654,0.18103,0.07023,0.00861,1.19868,10.1814,0.34845,0.76083,1.65475,0.0018812,0.0018812,0.0018812
8,130.156,1.07792,12.1541,0.40999,0.62968,1.41556,0.99137,0.99019,0.99457,0.70197,0.17568,0.14224,0.03789,0.0046,1.09521,10.1759,0.34761,0.55325,1.57192,0.0018614,0.0018614,0.0018614
9,140.763,1.09068,12.0508,0.40066,0.61295,1.40492,0.97706,0.99138,0.99435,0.65084,0.23628,0.19397,0.06466,0.00895,1.18468,9.87634,0.35266,0.58137,1.57526,0.0018416,0.0018416,0.0018416
10,151.803,1.05153,11.8732,0.39204,0.60343,1.38531,0.99004,0.99569,0.99457,0.54278,0.31508,0.28879,0.09854,0.01263,1.61549,9.74581,0.32412,0.60325,1.99505,0.0018218,0.0018218,0.0018218
11,162.701,1.04023,11.6113,0.38378,0.58561,1.36208,0.98319,0.98707,0.99465,0.68887,0.31489,0.27586,0.1113,0.01618,1.12594,9.49023,0.31442,0.51779,1.53471,0.001802,0.001802,0.001802
12,173.298,1.00659,11.4705,0.38046,0.57861,1.36417,0.96775,0.96552,0.99051,0.69605,0.39877,0.35776,0.15612,0.02626,1.06851,9.27787,0.33332,0.51691,1.44688,0.0017822,0.0017822,0.0017822
13,184.299,0.99738,11.4332,0.36444,0.55925,1.33757,0.99127,1,0.9947,0.74881,0.32647,0.28017,0.12871,0.01736,0.89971,9.38693,0.30934,0.4907,1.35717,0.0017624,0.0017624,0.0017624
14,195.001,0.98813,11.3423,0.36357,0.56823,1.33751,0.99004,1,0.99496,0.72498,0.40415,0.37931,0.17537,0.0275,0.97071,8.90572,0.30092,0.45289,1.38049,0.0017426,0.0017426,0.0017426
15,205.587,0.97767,11.1334,0.3555,0.55276,1.31684,0.98302,0.99804,0.99444,0.76023,0.3472,0.28879,0.12937,0.01847,0.86747,9.05017,0.33276,0.4519,1.31188,0.0017228,0.0017228,0.0017228
16,216.805,0.95779,11.0159,0.34432,0.54258,1.30662,0.98235,0.99569,0.99417,0.71934,0.37439,0.36207,0.1656,0.02635,0.938,8.87382,0.29784,0.45877,1.39932,0.001703,0.001703,0.001703
17,227.62,0.95127,10.8192,0.33667,0.53809,1.30599,0.97871,0.99081,0.99363,0.75139,0.49258,0.38793,0.28065,0.04835,0.92661,8.4781,0.27659,0.47491,1.35475,0.0016832,0.0016832,0.0016832
18,238.568,0.95723,10.7662,0.33382,0.53873,1.31385,0.98557,1,0.99461,0.74477,0.37447,0.34483,0.13976,0.02456,0.89229,8.52934,0.307,0.45705,1.35987,0.0016634,0.0016634,0.0016634
19,249.953,0.95562,10.7736,0.33747,0.5405,1.31394,0.98322,0.99569,0.99483,0.76293,0.54244,0.43103,0.28069,0.04761,0.86671,8.28023,0.29047,0.43393,1.31615,0.0016436,0.0016436,0.0016436
20,260.577,0.93106,10.5917,0.32951,0.5222,1.30342,0.99926,1,0.995,0.78308,0.43578,0.35776,0.23494,0.04494,0.80962,8.13158,0.27881,0.42207,1.26973,0.0016238,0.0016238,0.0016238
21,271.863,0.94919,10.5777,0.32694,0.5285,1.30318,0.98673,1,0.99465,0.77873,0.48173,0.40517,0.28173,0.0505,0.83473,8.46071,0.30926,0.41242,1.31881,0.001604,0.001604,0.001604
22,282.784,0.91853,10.4227,0.33173,0.50863,1.27855,0.98575,0.99569,0.99391,0.79267,0.58218,0.44443,0.32168,0.06557,0.77973,8.0607,0.27672,0.40991,1.27444,0.0015842,0.0015842,0.0015842
23,294.246,0.90862,10.3691,0.32356,0.51272,1.27443,0.99359,1,0.99496,0.77359,0.48211,0.4181,0.24249,0.04036,0.83673,8.14878,0.29175,0.40697,1.28267,0.0015644,0.0015644,0.0015644
24,305.877,0.90309,10.288,0.32089,0.51072,1.26976,0.98216,1,0.99496,0.7914,0.48784,0.4181,0.25698,0.04218,0.75831,8.04083,0.28684,0.39433,1.23528,0.0015446,0.0015446,0.0015446
25,317.236,0.9015,10.1394,0.31703,0.50805,1.27265,0.99945,1,0.995,0.80252,0.52966,0.37069,0.27587,0.04699,0.7619,7.97536,0.28129,0.39611,1.25639,0.0015248,0.0015248,0.0015248
26,328.644,0.89327,10.1589,0.31671,0.4984,1.26395,0.99544,1,0.99479,0.77972,0.50664,0.4569,0.29304,0.05668,0.81867,7.65398,0.27484,0.40278,1.27778,0.001505,0.001505,0.001505
27,339.972,0.89623,10.2271,0.31055,0.50088,1.2796,0.98302,0.9984,0.99393,0.79584,0.60224,0.46337,0.36601,0.07447,0.79646,7.70327,0.29361,0.39306,1.26708,0.0014852,0.0014852,0.0014852
28,351.107,0.88571,9.95169,0.31737,0.49277,1.25524,0.99394,1,0.995,0.78209,0.50387,0.43103,0.26911,0.05124,0.81006,7.9193,0.27234,0.41202,1.25939,0.0014654,0.0014654,0.0014654
29,362.766,0.87537,9.98977,0.3081,0.48285,1.24999,0.98697,1,0.99483,0.79058,0.52837,0.43966,0.31818,0.05784,0.80329,7.76189,0.27351,0.39068,1.27067,0.0014456,0.0014456,0.0014456
30,374.228,0.86559,9.88441,0.30693,0.48396,1.2567,0.98722,0.99901,0.99227,0.79564,0.59298,0.43966,0.3206,0.06835,0.78575,7.68853,0.2816,0.40324,1.26207,0.0014258,0.0014258,0.0014258
31,385.565,0.87298,9.96426,0.30596,0.48147,1.25322,0.99499,0.99569,0.99409,0.78893,0.64176,0.43103,0.38431,0.06968,0.79505,7.50253,0.27146,0.394,1.25266,0.001406,0.001406,0.001406
32,397.458,0.84259,9.74513,0.29924,0.46216,1.23931,0.98652,1,0.99422,0.80782,0.55347,0.4755,0.30236,0.06467,0.7385,7.33542,0.27798,0.36793,1.2384,0.0013862,0.0013862,0.0013862
33,408.964,0.84942,9.79672,0.30347,0.47628,1.23116,0.99568,1,0.995,0.81135,0.58267,0.49569,0.37276,0.07236,0.72623,7.403,0.27795,0.3733,1.20408,0.0013664,0.0013664,0.0013664
