epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9749,1.67305,10.7462,0.64725,1.13055,0.03702,15.9565,0.97735,0.98276,0.99296,0.6058,0,0,0,0,1.39974,8.16108,0.45183,0.41228,0.04411,0,0.000659004,0.000659004,0.000659004
2,89.3102,1.55561,9.51221,0.50479,0.643,0.03421,8.42633,0.96134,0.96461,0.99231,0.58208,0,0,0,0,1.47801,9.33815,0.38249,0.41145,0.04647,0,0.00131255,0.00131255,0.00131255
3,108.746,1.51201,9.17805,0.46059,0.61624,0.03329,7.54716,0.96943,0.95683,0.98836,0.53893,0.0191,0.01724,0.00055,6e-05,1.5809,8.26587,0.4264,0.43941,0.05017,0,0.00195289,0.00195289,0.00195289
4,128.072,1.48067,8.83847,0.43223,0.59723,0.0324,7.03003,0.91107,0.97414,0.95817,0.4309,0.09935,0.06466,0.00794,0.00081,2.04295,7.57542,0.35587,0.57433,0.07266,0,0.0019406,0.0019406,0.0019406
5,147.495,1.437,8.50759,0.41107,0.5967,0.03068,6.46913,0.97391,0.96543,0.99132,0.55062,0.37802,0.32759,0.16066,0.02338,1.6679,6.12305,0.33064,0.42889,0.05602,0,0.0019208,0.0019208,0.0019208
6,166.96,1.41781,8.16613,0.37604,0.56575,0.03073,5.92306,0.97046,0.99135,0.99124,0.62893,0.22722,0.19518,0.08598,0.01259,1.35575,6.35205,0.3052,0.36788,0.04171,0,0.001901,0.001901,0.001901
7,186.401,1.38797,7.80831,0.35277,0.56952,0.02973,5.44248,0.9671,0.98276,0.99277,0.64738,0.38397,0.31466,0.16408,0.02279,1.27417,6.07795,0.29259,0.35302,0.04002,0,0.0018812,0.0018812,0.0018812
8,205.855,1.3713,7.95952,0.34544,0.56196,0.02946,5.59658,0.97476,0.99898,0.99396,0.59436,0.36689,0.31466,0.19747,0.03161,1.4635,6.16214,0.32138,0.42529,0.04653,0,0.0018614,0.0018614,0.0018614
9,225.416,1.34792,7.72046,0.32675,0.52827,0.02814,5.25617,0.97413,0.97375,0.99123,0.58544,0.45551,0.36207,0.24246,0.03971,1.49567,5.62615,0.29351,0.39383,0.04699,0,0.0018416,0.0018416,0.0018416
10,245.04,1.29994,7.60507,0.32071,0.52736,0.02752,5.14563,0.97834,0.97325,0.99315,0.56634,0.5229,0.47715,0.26673,0.05234,1.5051,5.37367,0.32466,0.39601,0.04708,0,0.0018218,0.0018218,0.0018218
11,264.629,1.30556,7.38777,0.31395,0.51518,0.02704,4.77118,0.96891,0.94044,0.98737,0.43224,0.39793,0.33621,0.1789,0.02772,2.0376,5.59779,0.27193,0.54151,0.07095,0,0.001802,0.001802,0.001802
12,284.218,1.2928,7.24041,0.30915,0.51371,0.02748,4.79045,0.9424,0.97845,0.98965,0.5478,0.51523,0.4181,0.2771,0.04661,1.63569,5.48925,0.33459,0.44303,0.05445,0,0.0017822,0.0017822,0.0017822
