epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5037,1.69824,10.5119,0.55161,1.11884,0.03762,15.3891,0.98188,0.93966,0.99031,0.54232,0,0,0,0,1.60539,8.6764,0.29595,0.47545,0.05132,0,0.000659004,0.000659004,0.000659004
2,88.7315,1.54206,9.38817,0.39718,0.65473,0.03389,8.33575,0.9473,0.92974,0.97042,0.47983,0,0,0,0,1.777,10.3753,0.24633,0.57775,0.05948,0,0.00131255,0.00131255,0.00131255
3,108.16,1.49639,8.93306,0.35921,0.65517,0.03312,7.21346,0.92715,0.93264,0.97606,0.57247,0.00931,0.00862,0.00012,1e-05,1.49774,7.66864,0.27436,0.48857,0.04794,0,0.00195289,0.00195289,0.00195289
4,127.508,1.52127,8.52973,0.33242,0.66534,0.03342,6.66012,0.93717,0.96437,0.98715,0.52504,0.31648,0.26293,0.09538,0.01278,1.78354,6.41432,0.2426,0.62393,0.06021,0,0.0019406,0.0019406,0.0019406
5,146.895,1.49175,8.39646,0.31708,0.67118,0.0319,6.30728,0.98257,0.97193,0.99151,0.51439,0.20261,0.14786,0.03526,0.00469,1.74447,6.66948,0.19063,0.48316,0.05727,0,0.0019208,0.0019208,0.0019208
6,166.316,1.41692,8.05157,0.28026,0.61576,0.03059,5.82502,0.98975,0.96983,0.99397,0.61967,0.52699,0.42241,0.3089,0.05869,1.41291,5.50677,0.19225,0.37595,0.04431,0,0.001901,0.001901,0.001901
7,185.803,1.412,7.52215,0.26763,0.57968,0.03028,5.16459,0.97326,0.96121,0.99133,0.5519,0.34201,0.29741,0.15263,0.02741,1.55852,6.03303,0.21798,0.465,0.04926,0,0.0018812,0.0018812,0.0018812
8,205.284,1.40219,7.61168,0.25829,0.5721,0.03002,5.23042,0.96227,0.98936,0.99283,0.59684,0.58688,0.41379,0.32623,0.05366,1.43825,5.89494,0.24175,0.40556,0.04732,0,0.0018614,0.0018614,0.0018614
9,224.856,1.36258,7.41976,0.2473,0.55561,0.02871,4.90874,0.97802,0.98276,0.99352,0.56897,0.43576,0.35953,0.22326,0.03047,1.59254,5.67402,0.16329,0.425,0.05108,0,0.0018416,0.0018416,0.0018416
10,244.436,1.33341,7.27552,0.24186,0.56583,0.02855,4.77894,0.98853,0.96983,0.99344,0.53815,0.50268,0.42261,0.24227,0.04674,1.65187,5.39797,0.1975,0.42981,0.05261,0,0.0018218,0.0018218,0.0018218
11,264.059,1.31158,7.10227,0.23604,0.54631,0.02744,4.48488,0.98897,0.96983,0.99323,0.59229,0.51311,0.4569,0.27695,0.05972,1.42183,5.1643,0.18354,0.38251,0.04482,0,0.001802,0.001802,0.001802
12,283.734,1.28098,7.02772,0.2347,0.53189,0.02715,4.55764,0.97414,0.97407,0.99206,0.57229,0.52759,0.46121,0.31999,0.0772,1.55687,5.11405,0.20228,0.38941,0.05103,0,0.0017822,0.0017822,0.0017822
13,303.43,1.2691,6.92382,0.22702,0.51746,0.02645,4.28506,0.97444,0.98589,0.99118,0.59822,0.48447,0.4181,0.25461,0.04978,1.41145,5.19873,0.19794,0.36914,0.04355,0,0.0017624,0.0017624,0.0017624
14,323.119,1.26368,6.85505,0.22998,0.5051,0.02648,4.21964,0.9827,0.97927,0.99436,0.59872,0.51013,0.41379,0.28098,0.05813,1.47845,5.36622,0.20033,0.40725,0.0463,0,0.0017426,0.0017426,0.0017426
