epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88421,2.00277,97.5536,0.70335,2.92865,2.33721,0.98987,1,0.995,0.69661,0,0,0,0,1.07462,99.1185,0.69206,0.85432,1.75824,0.00018,0.00018,0.00018
2,10.5221,1.03228,96.96,0.69542,0.74057,1.48606,0.25406,0.55,0.17582,0.03097,0,0,0,0,3.27075,98.3085,0.66914,3.4421,6.12206,0.000376238,0.000376238,0.000376238
3,13.1137,1.10642,96.8074,0.67176,0.70922,1.49168,0.65162,0.65485,0.61786,0.09881,0,0,0,0,3.32183,98.0563,0.64937,1.31565,5.26926,0.000568516,0.000568516,0.000568516
4,15.6939,1.13146,96.343,0.636,0.78618,1.5156,0.05286,0.25,0.01547,0.00308,0,0,0,0,4.22307,98.969,0.79718,154.855,12.0804,0.000756834,0.000756834,0.000756834
5,18.2747,1.16439,97.0683,0.60352,0.77181,1.51547,0.01668,0.05,0.00078,8e-05,0,0,0,0,5.10018,99.0638,2.80332,348.057,147.554,0.000941192,0.000941192,0.000941192
6,20.8584,1.13663,97.2611,0.57411,0.76067,1.51893,0.0005,0.05,5e-05,1e-05,0,0,0,0,5.3865,99.9567,5.17438,inf,195.541,0.00112159,0.00112159,0.00112159
7,23.4261,1.19265,96.0813,0.547,0.78461,1.53419,0.03952,0.8,0.0387,0.01806,0,0,0,0,1.8007,97.4564,0.38199,42.5171,2.82218,0.00129803,0.00129803,0.00129803
8,25.9967,1.21215,95.523,0.53678,0.84362,1.58029,0.01977,0.35,0.01216,0.00123,0,0,0,0,4.13757,99.8039,0.94327,179.347,48.581,0.00147051,0.00147051,0.00147051
9,28.5747,1.23207,96.4112,0.52424,0.7994,1.57185,0.26984,0.85,0.30978,0.09133,0,0,0,0,2.96143,99.7017,0.62583,22.1216,6.95677,0.00163902,0.00163902,0.00163902
10,31.1501,1.16982,94.4321,0.50716,0.81699,1.54514,0.06143,0.5,0.03075,0.01101,0,0,0,0,3.08091,98.8649,0.54782,7.42645,4.52235,0.00180358,0.00180358,0.00180358
11,33.7041,1.1118,96.0085,0.51242,0.78783,1.52529,0.27986,0.25,0.12899,0.02542,0,0,0,0,3.37743,99.0892,0.68098,2.32927,6.40767,0.001802,0.001802,0.001802
12,36.2788,1.15422,94.8828,0.49914,0.76644,1.54116,0.38999,0.4,0.3648,0.12192,0,0,0,0,2.99671,97.2429,0.41476,1.76118,4.31137,0.0017822,0.0017822,0.0017822
13,38.8443,1.06608,93.2648,0.48713,0.72024,1.46404,0.41782,0.7,0.56022,0.22438,0,0,0,0,2.10034,96.745,0.39198,2.08366,3.64595,0.0017624,0.0017624,0.0017624
14,41.4329,1.08585,93.2193,0.48863,0.73331,1.4629,0.51462,0.6,0.70126,0.33062,0,0,0,0,1.91534,97.9089,0.45049,4.18196,2.99787,0.0017426,0.0017426,0.0017426
15,43.9835,1.04112,93.5272,0.4712,0.74542,1.4966,0.51347,0.65,0.45115,0.18197,0,0,0,0,2.1189,98.2723,0.39417,4.72066,3.13571,0.0017228,0.0017228,0.0017228
16,46.5577,1.1131,93.3086,0.47185,0.72547,1.51337,0.32374,0.64637,0.31819,0.10019,0,0,0,0,2.40277,97.1799,0.41951,5.07606,3.4731,0.001703,0.001703,0.001703
17,49.1173,1.04881,93.0404,0.47625,0.70486,1.45653,0.48596,0.5677,0.68347,0.31281,0,0,0,0,1.75438,96.5082,0.43095,2.88825,2.67032,0.0016832,0.0016832,0.0016832
18,51.6951,1.09072,91.7326,0.47103,0.73031,1.52045,0.46577,0.85,0.58309,0.31223,0,0,0,0,1.66956,95.5962,0.41185,2.48135,2.77606,0.0016634,0.0016634,0.0016634
19,54.255,1.03987,90.9401,0.4786,0.72988,1.43767,0.78703,0.9244,0.92321,0.44455,0,0,0,0,1.75875,90.8794,0.36566,1.42895,3.15823,0.0016436,0.0016436,0.0016436
20,56.8384,1.09874,90.3892,0.46541,0.72201,1.4745,1,0.97655,0.995,0.71022,0,0,0,0,0.99266,90.3807,0.36759,0.75051,1.65681,0.0016238,0.0016238,0.0016238
21,59.4322,0.99073,90.3367,0.46072,0.68509,1.41519,0.86636,0.97294,0.93372,0.67047,0,0,0,0,1.09397,89.0145,0.40678,0.75217,1.74308,0.001604,0.001604,0.001604
22,62.0017,1.04988,90.6438,0.4571,0.69647,1.45061,0.80048,0.80252,0.91341,0.48256,0,0,0,0,1.63061,86.414,0.40433,1.14246,2.40253,0.0015842,0.0015842,0.0015842
23,64.5607,0.98679,91.0238,0.45435,0.68694,1.41447,0.79906,0.99436,0.95671,0.73632,0,0,0,0,0.96263,83.0461,0.39015,0.75248,1.64897,0.0015644,0.0015644,0.0015644
24,67.1836,0.97827,90.3984,0.45948,0.68803,1.42577,0.90615,0.95,0.98545,0.78325,0,0,0,0,0.82317,82.2507,0.394,0.62213,1.53122,0.0015446,0.0015446,0.0015446
