epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2411,1.47584,11.7363,0.696,1.72982,1.70547,0.94669,0.94737,0.98037,0.66593,0,0,0,0,1.49414,11.5154,0.68423,0.80642,1.69395,0.00038,0.00038,0.00038
2,17.96,0.84268,11.42,0.63623,0.50985,1.17451,0.97036,0.97368,0.99189,0.7919,0,0,0,0,0.7481,11.4343,0.56182,0.71644,1.21191,0.000772278,0.000772278,0.000772278
3,22.7345,0.85465,11.0485,0.59874,0.55887,1.19536,0.38452,0.34211,0.33436,0.2339,0,0,0,0,3.0496,11.3299,0.72404,3.30571,3.46224,0.00115664,0.00115664,0.00115664
4,27.4306,0.88913,10.682,0.55332,0.59794,1.23607,0.60118,0.59519,0.6562,0.42775,0,0,0,0,1.27562,11.3051,0.35772,5.53835,1.73325,0.00153307,0.00153307,0.00153307
5,32.1392,0.81579,10.3847,0.50825,0.5716,1.15644,0.74622,0.65789,0.64428,0.24152,0,0,0,0,2.41919,11.7568,0.38085,3.11457,3.95485,0.00190159,0.00190159,0.00190159
6,36.8339,0.82916,10.0653,0.49521,0.54113,1.16433,0.86126,0.9803,0.9437,0.67869,0,0,0,0,0.93063,11.22,0.27705,1.24168,1.34563,0.001901,0.001901,0.001901
7,41.5385,0.80068,9.87365,0.48762,0.51816,1.16927,0.51189,0.73684,0.64273,0.28404,0,0,0,0,2.15363,9.73011,0.49378,2.834,2.73507,0.0018812,0.0018812,0.0018812
8,46.2807,0.75577,9.11385,0.44992,0.49213,1.12638,0.98548,1,0.995,0.78413,0,0,0,0,0.69587,9.08226,0.31502,0.86869,1.15666,0.0018614,0.0018614,0.0018614
9,50.9986,0.76878,9.47596,0.45302,0.49836,1.12802,0.93688,0.94737,0.9341,0.77417,0,0,0,0,0.80236,7.8711,0.33864,0.56467,1.17889,0.0018416,0.0018416,0.0018416
10,55.7018,0.74629,8.96663,0.44327,0.48727,1.13264,0.98444,1,0.995,0.81766,0,0,0,0,0.75807,7.52557,0.32887,0.45139,1.16658,0.0018218,0.0018218,0.0018218
11,60.4583,0.73684,8.29867,0.43055,0.45682,1.10276,0.99509,1,0.995,0.81266,0.00165,0.02632,0.00013,1e-05,0.65864,6.99446,0.33188,0.44626,1.08535,0.001802,0.001802,0.001802
12,65.1357,0.72428,8.16681,0.42221,0.47074,1.12395,0.99765,1,0.995,0.83429,0,0,0,0,0.64408,7.2961,0.3256,0.38656,1.08833,0.0017822,0.0017822,0.0017822
13,69.8686,0.71527,8.22354,0.4079,0.44945,1.10022,0.99234,1,0.995,0.79082,0.18315,0.18421,0.037,0.00378,0.69113,6.41949,0.32795,0.39834,1.07864,0.0017624,0.0017624,0.0017624
14,74.5719,0.72737,8.29737,0.41089,0.45865,1.08829,0.99047,1,0.995,0.78601,0.03718,0.02632,0.00167,0.00017,0.70334,6.41779,0.33107,0.5283,1.09682,0.0017426,0.0017426,0.0017426
