epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3774,1.94404,23.317,0.71054,2.55195,2.34733,0.92923,1,0.9875,0.81563,0,0,0,0,0.76537,23.7231,0.69012,0.90068,1.54883,0.00018,0.00018,0.00018
2,12.9022,1.16243,23.5912,0.71441,0.69612,1.62995,0.81408,0.92243,0.89834,0.54846,0,0,0,0,1.28191,23.7399,0.68241,0.92285,2.42749,0.000376238,0.000376238,0.000376238
3,15.4093,1.11777,23.3418,0.69069,0.65866,1.55893,0.89819,1,0.98548,0.59093,0,0,0,0,1.36775,23.4086,0.65463,1.26151,2.8404,0.000568516,0.000568516,0.000568516
4,17.9054,1.09479,23.283,0.66787,0.68816,1.56581,0.01772,0.21053,0.00661,0.00145,0,0,0,0,3.52876,23.7696,0.76379,14.8113,7.69254,0.000756834,0.000756834,0.000756834
5,20.3988,1.17789,23.1761,0.65384,0.74847,1.61412,0,0,0,0,0,0,0,0,5.64247,23.7701,0.92252,25.3416,54.8128,0.000941192,0.000941192,0.000941192
6,22.8935,1.06772,23.3057,0.64527,0.68858,1.52674,0.02477,0.15789,0.00384,0.00065,0,0,0,0,3.41105,23.6925,0.7067,2363.96,24.261,0.00112159,0.00112159,0.00112159
7,25.3676,1.1135,23.0588,0.62933,0.69222,1.54942,0.1655,0.57895,0.16228,0.06286,0,0,0,0,2.35211,23.6551,0.58959,7.19512,3.97216,0.00129803,0.00129803,0.00129803
8,27.8616,1.26061,23.0282,0.62289,0.78507,1.70898,0.03091,0.10526,0.00467,0.0008,0,0,0,0,4.01179,22.6871,0.58794,11.135,4.852,0.00147051,0.00147051,0.00147051
9,30.3953,1.08769,23.0442,0.61962,0.68296,1.52525,0.2943,0.36842,0.18148,0.04622,0,0,0,0,3.10645,23.5535,0.56806,5.07137,5.3667,0.00163902,0.00163902,0.00163902
10,32.9048,1.05893,22.9566,0.60607,0.65351,1.51114,0.20995,0.31579,0.11941,0.02564,0,0,0,0,3.56849,23.4304,0.55723,5.45153,4.22939,0.00180358,0.00180358,0.00180358
11,35.4081,1.10767,22.8467,0.59406,0.71993,1.56194,0.83615,0.80637,0.90927,0.41207,0,0,0,0,1.8204,23.6554,0.56887,2.13075,3.47864,0.001802,0.001802,0.001802
12,37.9207,1.11814,22.9944,0.59465,0.66847,1.54771,0.72037,0.81412,0.77019,0.34999,0,0,0,0,1.83944,23.7653,0.54191,2.83077,3.02323,0.0017822,0.0017822,0.0017822
13,40.4214,1.09231,22.9527,0.60139,0.66768,1.54865,0.59987,0.31579,0.40937,0.1561,0,0,0,0,2.57252,23.5148,0.55682,1.98081,4.00697,0.0017624,0.0017624,0.0017624
14,42.9348,1.07403,22.8002,0.58665,0.68667,1.51418,0.80586,0.78947,0.83406,0.43438,0,0,0,0,1.68821,23.64,0.48289,1.1821,2.95516,0.0017426,0.0017426,0.0017426
15,45.4249,1.11008,22.4127,0.57575,0.70869,1.59468,0.89246,1,0.96214,0.69834,0,0,0,0,0.97368,23.3501,0.51358,1.19657,1.86784,0.0017228,0.0017228,0.0017228
16,47.9202,1.08613,22.6751,0.56867,0.66874,1.51846,0.60904,0.90211,0.86237,0.44834,0,0,0,0,1.51719,22.5975,0.49264,2.13026,2.3098,0.001703,0.001703,0.001703
17,50.4065,0.98301,22.7076,0.56831,0.62016,1.42768,0.69719,0.73684,0.81861,0.35386,0,0,0,0,1.73986,22.8228,0.47537,1.9919,2.77445,0.0016832,0.0016832,0.0016832
18,52.9008,1.0604,22.3233,0.56528,0.66523,1.52404,0.72421,0.96792,0.7761,0.51988,0,0,0,0,1.1686,22.9448,0.57236,0.88793,2.00378,0.0016634,0.0016634,0.0016634
19,55.3867,0.97688,22.4461,0.56463,0.61265,1.43174,0.52718,0.89474,0.59167,0.28464,0,0,0,0,1.62793,22.5358,0.5126,1.26377,2.68612,0.0016436,0.0016436,0.0016436
20,57.8985,0.99835,22.2693,0.5757,0.5995,1.4447,0.16036,0.94737,0.16746,0.10657,0,0,0,0,1.18645,22.0945,0.5143,6.13077,2.36289,0.0016238,0.0016238,0.0016238
21,60.3732,0.97095,22.255,0.56878,0.60658,1.46152,0.95823,0.94737,0.97667,0.71515,0,0,0,0,1.02027,22.384,0.53142,2.19225,1.85504,0.001604,0.001604,0.001604
22,62.864,1.00273,22.1841,0.55345,0.61548,1.4851,0.90417,0.99349,0.98761,0.77046,0,0,0,0,0.89958,22.1089,0.50885,0.66648,1.7768,0.0015842,0.0015842,0.0015842
23,65.3416,0.93009,22.0612,0.55092,0.58507,1.44475,0.85248,1,0.96718,0.71454,0,0,0,0,1.0527,21.0016,0.53033,0.7057,1.84123,0.0015644,0.0015644,0.0015644
24,67.8192,0.94315,22.4163,0.5451,0.55096,1.42905,0.89914,0.93873,0.90676,0.69462,0,0,0,0,0.95025,21.9472,0.55286,0.77279,1.82121,0.0015446,0.0015446,0.0015446
25,70.3049,0.90401,21.9821,0.54003,0.57104,1.39752,0.99919,1,0.995,0.76512,0,0,0,0,0.92359,22.4713,0.56016,0.69163,1.70476,0.0015248,0.0015248,0.0015248
26,72.7991,0.88117,21.7514,0.55047,0.56854,1.4017,0.84117,0.89474,0.94113,0.52176,0,0,0,0,1.47337,20.8205,0.51409,1.308,2.04218,0.001505,0.001505,0.001505
