epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1199,1.6908,10.8393,0.64882,1.02053,0.03105,15.9809,0.9951,0.98795,0.99433,0.48678,0,0,0,0,1.8636,9.28953,0.37977,0.51794,0.05252,0,0.000650794,0.000650794,0.000650794
2,27.6118,1.33774,9.37886,0.46983,0.57773,0.02346,7.69989,0.95097,0.98795,0.99005,0.61337,0,0,0,0,1.42104,10.2304,0.28993,0.44925,0.03898,0,0.00130442,0.00130442,0.00130442
3,38.0606,1.32999,9.0365,0.40561,0.57251,0.02264,6.58149,0.94082,0.9577,0.98461,0.61128,0,0,0,0,1.40652,8.36631,0.25267,0.48288,0.03695,0,0.00194484,0.00194484,0.00194484
4,48.4717,1.24826,8.43463,0.36584,0.50126,0.02151,5.81198,0.89348,0.90958,0.9689,0.67422,0.02525,0.0241,0.00788,0.00083,1.12874,7.22449,0.28903,0.53077,0.028,0,0.0019406,0.0019406,0.0019406
5,58.8782,1.20747,8.10919,0.35097,0.49122,0.02072,5.41016,0.98713,0.92396,0.99019,0.68113,0,0,0,0,1.22043,9.85896,0.24598,0.35709,0.03232,0,0.0019208,0.0019208,0.0019208
6,69.2637,1.22932,7.87989,0.34334,0.45813,0.02212,5.07582,0.95283,0.97351,0.98735,0.69362,0.01604,0.01205,0.00047,5e-05,1.06714,6.98016,0.33497,0.34886,0.02659,0,0.001901,0.001901,0.001901
7,79.6772,1.14608,7.38975,0.33395,0.44075,0.01899,4.52552,0.91164,0.99451,0.98754,0.66788,0.19278,0.18072,0.04412,0.00567,1.22642,6.14356,0.26857,0.42895,0.03317,0,0.0018812,0.0018812,0.0018812
8,90.0527,1.11609,7.01007,0.31845,0.41327,0.01927,4.39308,0.99675,0.92771,0.98577,0.73438,0.30096,0.25301,0.10858,0.0127,0.88765,5.55458,0.29223,0.35802,0.02193,0,0.0018614,0.0018614,0.0018614
9,100.478,1.10269,6.95549,0.30592,0.43241,0.01818,4.14537,0.97601,0.98047,0.99386,0.67948,0.6131,0.53012,0.37567,0.05092,1.22503,5.01273,0.30249,0.32833,0.03169,0,0.0018416,0.0018416,0.0018416
10,110.862,1.03638,6.6607,0.30351,0.39174,0.01755,3.92602,0.99798,0.98795,0.99356,0.7512,0.60392,0.54217,0.38444,0.06229,0.94725,4.90865,0.28571,0.2962,0.02373,0,0.0018218,0.0018218,0.0018218
11,121.259,1.12441,6.62492,0.30342,0.40703,0.01885,3.74342,0.9806,0.95181,0.99181,0.77299,0.532,0.51807,0.28734,0.04348,0.82967,5.01136,0.28822,0.2874,0.01961,0,0.001802,0.001802,0.001802
12,131.641,1.11345,6.51444,0.2927,0.41425,0.019,3.5289,0.97462,0.9759,0.99216,0.75307,0.65305,0.55422,0.4138,0.06566,0.90811,4.98157,0.28413,0.27693,0.02261,0,0.0017822,0.0017822,0.0017822
