epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2469,1.78554,11.4951,0.68803,2.12747,0.03823,21.736,0.8955,0.92105,0.92938,0.41526,0,0,0,0,1.81937,10.6251,0.58539,0.80118,0.05781,0,0.00038,0.00038,0.00038
2,19.3017,1.30254,10.0539,0.6112,0.48898,0.02548,9.18885,1,0.99786,0.995,0.5231,0,0,0,0,1.44728,9.26946,0.30983,0.3973,0.04333,0,0.000772278,0.000772278,0.000772278
3,24.4667,1.24078,9.13885,0.52932,0.45717,0.02538,6.64963,0.99417,0.97368,0.994,0.68518,0,0,0,0,1.23666,8.49315,0.3471,0.31994,0.03429,0,0.00115664,0.00115664,0.00115664
4,29.6318,1.20034,8.76778,0.47654,0.45039,0.02422,6.03705,0.97082,0.97368,0.98441,0.66177,0,0,0,0,1.23457,6.94307,0.33331,0.31111,0.03336,0,0.00153307,0.00153307,0.00153307
5,34.7947,1.36774,8.75815,0.43437,0.46449,0.02695,5.92895,0.96881,0.94737,0.98999,0.67507,0,0,0,0,1.25485,10.3511,0.24692,0.34579,0.03402,0,0.00190159,0.00190159,0.00190159
6,39.9295,1.26193,8.79409,0.40396,0.46001,0.02442,5.90946,0.92485,1,0.98984,0.53741,0,0,0,0,1.5135,8.28392,0.25706,0.42297,0.04786,0,0.001901,0.001901,0.001901
7,45.0368,1.47171,8.42504,0.3835,0.49548,0.03116,5.39006,0.86174,1,0.98238,0.55937,0,0,0,0,1.46309,8.15911,0.27854,0.4189,0.04185,0,0.0018812,0.0018812,0.0018812
8,50.1965,1.24271,7.96768,0.3636,0.45938,0.02489,4.87323,0.99575,1,0.995,0.73568,0.04813,0.02632,0.00313,0.00031,0.95923,7.56199,0.26514,0.29689,0.02863,0,0.0018614,0.0018614,0.0018614
9,55.3145,1.18017,7.939,0.34683,0.4262,0.02329,4.66185,0.96425,0.97368,0.95684,0.57654,0,0,0,0,1.55049,6.19213,0.25669,0.38912,0.04403,0,0.0018416,0.0018416,0.0018416
10,60.398,1.18196,7.36845,0.34742,0.44891,0.02378,4.04356,0.99735,1,0.995,0.69803,0.022,0.02632,0.00216,0.00022,1.18166,7.00146,0.2326,0.30707,0.03244,0,0.0018218,0.0018218,0.0018218
11,65.5039,1.11665,7.84756,0.34522,0.3972,0.02237,4.64273,0.946,0.94737,0.98867,0.72035,0.13089,0.13158,0.0429,0.00456,0.95957,5.88307,0.26156,0.30855,0.02799,0,0.001802,0.001802,0.001802
12,70.5798,1.02183,7.3903,0.33556,0.38108,0.02129,4.25058,1,0.99898,0.995,0.70449,0.093,0.10526,0.00977,0.00124,1.01807,6.47798,0.24856,0.26192,0.02875,0,0.0017822,0.0017822,0.0017822
13,75.6642,1.09685,7.38987,0.32008,0.39298,0.02125,4.06443,1,0.70791,0.78913,0.51856,0.69784,0.5,0.37049,0.05898,1.65822,5.84356,0.34323,1.1729,0.0468,0,0.0017624,0.0017624,0.0017624
14,80.782,1.0721,7.28413,0.31892,0.39431,0.01896,3.63808,0.99662,1,0.995,0.79538,0.10524,0.10526,0.01313,0.00209,0.80156,5.91754,0.24419,0.24447,0.02187,0,0.0017426,0.0017426,0.0017426
15,85.9203,0.99142,7.04182,0.32186,0.36977,0.01902,3.63488,0.99028,1,0.995,0.7744,0.51899,0.44737,0.28108,0.04204,0.78201,4.74383,0.25481,0.24902,0.02123,0,0.0017228,0.0017228,0.0017228
16,91.0168,0.94658,6.72377,0.31022,0.35543,0.01874,3.44987,0.99357,0.97368,0.994,0.6962,0.2407,0.28947,0.10374,0.01497,1.072,5.1141,0.26627,0.3109,0.03138,0,0.001703,0.001703,0.001703
17,96.1166,1.02004,6.85488,0.30173,0.38881,0.01876,3.49101,0.94113,1,0.99268,0.81111,0.27136,0.28947,0.14531,0.01834,0.76795,5.2789,0.23433,0.23896,0.01928,0,0.0016832,0.0016832,0.0016832
18,101.232,0.97935,6.43897,0.28639,0.34583,0.01966,3.20737,0.97433,1,0.995,0.76333,0.30228,0.28947,0.09621,0.01348,0.92281,5.25611,0.22939,0.24433,0.02595,0,0.0016634,0.0016634,0.0016634
19,106.337,0.887,6.43392,0.29795,0.31784,0.01682,3.16147,0.9974,1,0.995,0.8399,0.69237,0.65789,0.58006,0.12393,0.62146,4.26794,0.23738,0.16685,0.01631,0,0.0016436,0.0016436,0.0016436
20,111.434,0.88858,6.20314,0.28737,0.30373,0.01713,2.72672,0.99358,1,0.995,0.7816,0.71748,0.66848,0.55035,0.12805,0.77222,4.07902,0.23146,0.21782,0.02176,0,0.0016238,0.0016238,0.0016238
21,116.524,0.9014,6.14557,0.28792,0.32252,0.01686,2.67547,0.97431,0.99805,0.99449,0.76579,0.38982,0.36842,0.24228,0.0393,0.79368,4.59165,0.24539,0.30524,0.02037,0,0.001604,0.001604,0.001604
22,121.63,0.91187,6.28204,0.28495,0.33888,0.01723,2.75208,1,0.99909,0.995,0.75194,0.68339,0.68421,0.56678,0.09268,0.89364,4.34799,0.22283,0.27767,0.02462,0,0.0015842,0.0015842,0.0015842
23,126.758,0.96344,6.24856,0.29858,0.33175,0.01848,2.57112,0.97165,0.97368,0.97079,0.74686,0.62977,0.63158,0.52072,0.09887,0.83428,4.46479,0.22975,0.23393,0.0227,0,0.0015644,0.0015644,0.0015644
24,131.873,0.90418,6.07521,0.27568,0.31098,0.0169,2.26371,0.97036,0.97368,0.97211,0.81777,0.78918,0.73684,0.65998,0.16223,0.75974,3.98796,0.24127,0.25622,0.01953,0,0.0015446,0.0015446,0.0015446
25,136.976,0.86049,5.96741,0.27805,0.32135,0.01699,2.48127,0.99976,1,0.995,0.80385,0.78337,0.76316,0.65789,0.15554,0.72185,3.93537,0.23603,0.1846,0.0196,0,0.0015248,0.0015248,0.0015248
26,142.066,0.92361,6.17108,0.27183,0.3279,0.01748,2.41055,0.99253,0.97368,0.9931,0.84268,0.76813,0.78947,0.68603,0.1511,0.58444,3.87503,0.22714,0.19381,0.01535,0,0.001505,0.001505,0.001505
27,147.213,0.87279,6.13595,0.27787,0.34502,0.01568,2.56312,0.99837,1,0.995,0.75765,0.7625,0.68421,0.58386,0.15347,0.987,4.09703,0.21998,0.2604,0.02495,0,0.0014852,0.0014852,0.0014852
28,152.306,0.95584,6.08427,0.25895,0.32752,0.01855,2.55675,0.99503,1,0.995,0.75958,0.4844,0.47368,0.25174,0.03556,0.92304,4.8263,0.25896,0.23672,0.02517,0,0.0014654,0.0014654,0.0014654
29,157.385,0.88659,5.90546,0.26282,0.30528,0.01717,2.51129,0.9732,1,0.99449,0.81444,0.54321,0.47368,0.37486,0.06849,0.75257,4.7366,0.2186,0.24806,0.01941,0,0.0014456,0.0014456,0.0014456
30,162.46,0.84534,5.9463,0.2569,0.30196,0.01554,2.43096,0.9988,1,0.995,0.76879,0.55487,0.5,0.46033,0.07375,0.92491,4.53778,0.20883,0.24382,0.026,0,0.0014258,0.0014258,0.0014258
31,167.522,0.88496,5.64085,0.25448,0.29322,0.01768,2.45021,0.99858,1,0.995,0.79176,0.59518,0.55263,0.45191,0.07583,0.80573,4.5097,0.21301,0.19837,0.02235,0,0.001406,0.001406,0.001406
32,172.57,0.90505,5.7408,0.2657,0.31048,0.01809,2.30095,0.99805,1,0.995,0.85326,0.81408,0.81579,0.70575,0.18494,0.59436,3.68493,0.2148,0.16309,0.01583,0,0.0013862,0.0013862,0.0013862
33,177.66,0.79346,5.56949,0.25878,0.28422,0.01511,2.00913,0.99901,1,0.995,0.84284,0.7355,0.73684,0.57202,0.16507,0.60275,3.5757,0.22806,0.17418,0.0154,0,0.0013664,0.0013664,0.0013664
