epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8011,4.12701,11.8752,0.70359,5.89485,0.16945,43.961,0.70431,0.62707,0.72722,0.34666,0,0,0,0,1.90079,11.9365,0.69271,1.44813,0.07548,0,0.00018,0.00018,0.00018
2,15.4428,2.03075,11.8037,0.68812,1.21131,0.0854,35.0603,0.4705,0.52632,0.28481,0.03486,0,0,0,0,3.70762,11.7638,0.64592,1.60205,0.22723,0,0.00034238,0.00034238,0.00034238
3,18.0335,1.37608,11.5881,0.64768,0.50547,0.05603,27.067,0.84978,0.8933,0.8175,0.22945,0,0,0,0,2.74636,11.417,0.53337,1.02689,0.14396,0,0.00046516,0.00046516,0.00046516
4,20.7318,1.31367,11.1499,0.57452,0.38094,0.05072,21.6061,1,0.9851,0.995,0.55268,0,0,0,0,1.70664,10.9326,0.45407,0.47957,0.06991,0,0.00054834,0.00054834,0.00054834
5,23.3434,1.39598,10.7429,0.55712,0.38208,0.05533,18.5991,0.99711,1,0.995,0.45604,0,0,0,0,2.02961,11.0079,0.47552,0.49357,0.08884,0,0.00059192,0.00059192,0.00059192
6,25.9245,1.35426,10.4719,0.539,0.36821,0.05059,16.2569,0.9955,1,0.995,0.56845,0,0,0,0,1.59211,10.6187,0.46079,0.37089,0.06038,0,0.0005959,0.0005959,0.0005959
7,28.5125,1.368,10.2561,0.51374,0.38495,0.05198,15.6065,0.99708,1,0.995,0.61877,0,0,0,0,1.37919,10.9935,0.44782,0.33202,0.0537,0,0.00056028,0.00056028,0.00056028
8,31.1613,1.4008,9.93018,0.50431,0.38027,0.05526,14.3614,0.99706,1,0.995,0.57537,0,0,0,0,1.53516,10.6544,0.43279,0.36575,0.06281,0,0.00048506,0.00048506,0.00048506
9,33.7209,1.2316,9.63492,0.48761,0.32124,0.04748,13.6052,0.99671,1,0.995,0.64967,0,0,0,0,1.34419,9.5519,0.4082,0.30871,0.05307,0,0.00037024,0.00037024,0.00037024
10,36.2953,1.20828,9.4074,0.49202,0.30317,0.04681,12.9399,0.9948,1,0.995,0.64904,0,0,0,0,1.36672,8.81575,0.39598,0.3206,0.05213,0,0.00021582,0.00021582,0.00021582
