epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5489,2.58549,97.2285,0.69879,3.53773,0.07392,36.4757,0.95098,1,0.99262,0.44661,0,0,0,0,1.90191,99.0054,0.69014,0.49346,0.08014,0,0.00018,0.00018,0.00018
2,12.6122,1.38682,96.689,0.7104,0.64529,0.03719,27.5139,0.65476,0.75894,0.62887,0.24292,0,0,0,0,2.44682,98.0802,0.66409,0.76233,0.103,0,0.000376238,0.000376238,0.000376238
3,16.64,1.36315,96.0919,0.68545,0.58275,0.03577,22.466,0.66253,0.68759,0.50708,0.12726,0,0,0,0,2.85449,97.3382,0.62815,1.17253,0.10327,0,0.000568516,0.000568516,0.000568516
4,20.6638,1.52115,95.046,0.62744,0.56374,0.04172,20.3824,0.54377,0.75,0.58433,0.23882,0,0,0,0,2.5941,95.4631,0.55355,1.194,0.09529,0,0.000756834,0.000756834,0.000756834
5,24.7151,1.56975,94.8354,0.56012,0.62257,0.04191,17.2921,0.55959,0.6,0.41942,0.0672,0,0,0,0,3.40087,94.8738,0.48937,1.1397,0.14346,0,0.000941192,0.000941192,0.000941192
6,28.7838,1.65253,94.1682,0.52161,0.60167,0.04627,15.9357,0.70784,0.85,0.69448,0.17337,0,0,0,0,2.81197,95.3067,0.46332,0.98409,0.13011,0,0.00112159,0.00112159,0.00112159
7,32.8234,1.80435,92.9447,0.4991,0.69059,0.05051,14.3587,0.38869,0.73152,0.52062,0.1559,0,0,0,0,2.41438,94.1408,0.41783,1.39583,0.09065,0,0.00129803,0.00129803,0.00129803
8,36.8679,1.74977,91.9244,0.49756,0.73916,0.04813,13.8565,0.45891,0.72129,0.45549,0.12413,0,0,0,0,2.4411,95.8222,0.45328,1.60234,0.10523,0,0.00147051,0.00147051,0.00147051
9,40.8985,1.77824,94.1876,0.48063,0.76465,0.04865,13.6404,0.62307,0.6,0.60123,0.22339,0,0,0,0,2.52366,94.9743,0.45716,0.954,0.10624,0,0.00163902,0.00163902,0.00163902
10,44.9405,1.69493,92.2061,0.46995,0.7451,0.04559,13.1581,0.93016,0.85,0.85715,0.43939,0,0,0,0,1.85675,90.9754,0.36017,0.91719,0.07426,0,0.00180358,0.00180358,0.00180358
11,48.9644,1.92245,93.129,0.46342,0.86897,0.0521,13.0629,0.61586,0.55,0.46972,0.15137,0,0,0,0,2.82456,97.7862,0.34582,1.38997,0.12243,0,0.001802,0.001802,0.001802
12,53.0125,1.88979,92.219,0.44342,0.85013,0.05194,12.8192,0.57797,0.55,0.50107,0.14969,0,0,0,0,2.87367,93.7284,0.37376,1.68456,0.1227,0,0.0017822,0.0017822,0.0017822
13,57.0346,1.85777,91.5617,0.44981,1.02206,0.0513,13.2083,0.38984,0.75,0.56262,0.20276,0,0,0,0,2.33484,94.3347,0.35536,1.74715,0.09097,0,0.0017624,0.0017624,0.0017624
14,61.0799,1.89856,92.1095,0.4582,1.05016,0.0522,12.9592,0.32108,0.73328,0.29979,0.08392,0,0,0,0,2.76329,90.0294,0.34786,2.40702,0.11223,0,0.0017426,0.0017426,0.0017426
15,65.1014,1.8793,92.1929,0.44167,1.05481,0.05271,12.9575,0.60498,0.65,0.67509,0.21995,0,0,0,0,2.36744,92.6541,0.41861,1.81219,0.0983,0,0.0017228,0.0017228,0.0017228
16,69.1471,1.81574,91.3896,0.44643,0.95733,0.04908,12.1708,0.38347,0.6,0.36783,0.11278,0,0,0,0,2.59529,97.5501,0.39759,1.85308,0.10872,0,0.001703,0.001703,0.001703
17,73.1622,1.67456,90.0325,0.4382,0.90757,0.04537,11.727,0.44254,0.71479,0.40601,0.15038,0,0,0,0,2.1192,97.1092,0.41538,2.1313,0.08868,0,0.0016832,0.0016832,0.0016832
18,77.1992,1.78121,89.2203,0.43858,0.90761,0.05001,11.7987,0.82249,0.69531,0.69475,0.36175,0,0,0,0,1.73731,93.805,0.42236,0.91591,0.06895,0,0.0016634,0.0016634,0.0016634
19,81.2252,1.72913,88.4217,0.43514,0.78511,0.0458,10.8753,0.6456,0.6,0.45372,0.19104,0,0,0,0,2.7088,94.4142,0.40206,1.40913,0.11869,0,0.0016436,0.0016436,0.0016436
20,85.2892,1.82423,86.021,0.43588,0.92879,0.05105,10.6957,0.63021,0.59667,0.59234,0.19717,0,0,0,0,2.23338,98.8272,0.39695,2.10269,0.09308,0,0.0016238,0.0016238,0.0016238
21,89.3185,1.74893,85.6611,0.42307,0.88245,0.04906,10.9943,0.77586,0.7,0.78858,0.30959,0,0,0,0,2.13041,89.5947,0.40313,1.27938,0.08536,0,0.001604,0.001604,0.001604
22,93.3709,1.7325,86.29,0.41526,0.83176,0.04682,10.6615,0.79858,0.79327,0.85747,0.36856,0,0,0,0,2.1473,81.3349,0.4202,0.7881,0.08627,0,0.0015842,0.0015842,0.0015842
23,97.4049,1.66779,87.7091,0.42779,0.87475,0.04464,10.8973,0.90452,0.94751,0.97464,0.38269,0,0,0,0,2.16472,86.9273,0.41176,0.77322,0.08386,0,0.0015644,0.0015644,0.0015644
24,101.471,1.69067,86.7373,0.42066,0.83605,0.04661,10.7882,0.82555,0.85,0.95012,0.33773,0,0,0,0,2.10792,83.8423,0.38637,0.8965,0.08625,0,0.0015446,0.0015446,0.0015446
