epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6588,2.58333,11.6967,0.69718,3.22038,0.07425,35.746,0.99768,0.94737,0.9925,0.59376,0,0,0,0,1.4604,11.8831,0.68903,0.41521,0.06121,0,0.00018,0.00018,0.00018
2,14.6047,1.41736,11.7058,0.72576,0.60818,0.03886,25.6574,1,0.99642,0.995,0.38488,0,0,0,0,2.1452,11.7406,0.67369,0.656,0.09245,0,0.000376238,0.000376238,0.000376238
3,18.5177,1.38765,11.5199,0.74067,0.55976,0.03834,20.6224,0.94478,1,0.9925,0.45841,0,0,0,0,1.92525,11.7242,0.7047,0.58746,0.07603,0,0.000568516,0.000568516,0.000568516
4,22.4307,1.46338,11.3326,0.70687,0.56385,0.04155,17.674,0.8404,0.89474,0.93954,0.42977,0,0,0,0,1.73413,11.5109,0.63105,0.84016,0.07025,0,0.000756834,0.000756834,0.000756834
5,26.3495,1.59935,11.3349,0.67041,0.6787,0.04419,16.011,0.88817,0.89474,0.86395,0.28553,0,0,0,0,2.46578,11.4792,0.64867,0.61976,0.1209,0,0.000941192,0.000941192,0.000941192
6,30.2708,1.56333,11.1734,0.64382,0.64103,0.04397,14.3121,0.93317,0.94737,0.96871,0.42976,0,0,0,0,2.03821,11.4445,0.64329,1.05313,0.08227,0,0.00112159,0.00112159,0.00112159
7,34.1625,1.56555,10.9002,0.623,0.62195,0.04221,13.3398,0.9473,0.94608,0.93974,0.49917,0,0,0,0,1.85886,11.1614,0.52325,0.44611,0.07677,0,0.00129803,0.00129803,0.00129803
8,38.0806,1.73165,10.7912,0.61505,0.66397,0.04859,12.9032,0.70739,0.68421,0.59638,0.17833,0,0,0,0,2.85338,10.361,0.56371,0.81788,0.11465,0,0.00147051,0.00147051,0.00147051
9,41.9953,1.68949,10.842,0.62764,0.62578,0.04664,11.6506,0.86227,0.98893,0.94636,0.35109,0,0,0,0,2.28911,11.0136,0.59343,0.67836,0.09714,0,0.00163902,0.00163902,0.00163902
10,45.9167,1.7344,10.9087,0.61251,0.71195,0.04742,12.3155,0.85678,0.62986,0.65527,0.28304,0,0,0,0,2.14056,10.8654,0.59558,1.69654,0.09406,0,0.00180358,0.00180358,0.00180358
