epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5517,1.73397,21.9225,0.64589,0.96619,0.0329,16.2809,0.77796,0.71765,0.67379,0.15147,0,0,0,0,2.76101,19.3627,0.38207,1.28812,0.10361,0,0.000650794,0.000650794,0.000650794
2,36.8264,1.62058,19.8481,0.46726,0.61206,0.02939,8.10617,0.83113,0.92771,0.94603,0.53244,0,0,0,0,1.55702,17.3288,0.29764,0.60091,0.04184,0,0.00130442,0.00130442,0.00130442
3,52.1872,1.52485,18.6447,0.39769,0.61584,0.02691,7.00307,0.95383,0.90361,0.9162,0.56213,0,0,0,0,1.34403,16.8989,0.26553,0.70256,0.03588,0,0.00194484,0.00194484,0.00194484
4,67.5142,1.5582,17.8446,0.37028,0.65966,0.02781,6.40231,0.96114,0.95181,0.98931,0.62939,0,0,0,0,1.35131,22.3814,0.22302,0.41276,0.03527,0,0.0019406,0.0019406,0.0019406
5,82.8155,1.51105,16.9435,0.35618,0.65324,0.0281,5.91852,0.98079,0.87952,0.9397,0.46615,0,0,0,0,1.82599,20.2931,0.24112,1.13529,0.05702,0,0.0019208,0.0019208,0.0019208
6,98.0309,1.48235,16.3114,0.34028,0.60973,0.02679,5.52676,0.90779,0.96386,0.92502,0.55017,0.09743,0.08434,0.01668,0.00181,1.41388,12.7693,0.24731,0.6588,0.04295,0,0.001901,0.001901,0.001901
7,113.332,1.49713,15.5265,0.34182,0.61207,0.02654,4.9345,0.99365,0.91566,0.97474,0.68841,0.02735,0.0241,0.00227,0.0003,1.0998,14.2708,0.24191,0.67697,0.02809,0,0.0018812,0.0018812,0.0018812
8,128.676,1.42646,15.3499,0.32758,0.59952,0.0258,4.98891,0.93103,0.98795,0.98961,0.7477,0.14821,0.12048,0.03413,0.00356,0.90173,12.5384,0.23974,0.34215,0.02195,0,0.0018614,0.0018614,0.0018614
9,143.928,1.40718,15.2486,0.3139,0.53927,0.02451,4.85651,0.9877,0.96776,0.9932,0.59287,0.32051,0.26506,0.13426,0.0185,1.47598,11.4094,0.27208,0.39928,0.03952,0,0.0018416,0.0018416,0.0018416
10,159.179,1.39619,15.1642,0.31523,0.51042,0.02553,4.89515,0.9758,0.92771,0.98419,0.63772,0.05014,0.04819,0.00454,0.00045,1.30307,13.4073,0.26408,0.61359,0.03508,0,0.0018218,0.0018218,0.0018218
11,174.476,1.40447,14.6467,0.3064,0.53265,0.02514,4.52243,0.97359,0.88825,0.96741,0.70601,0.24317,0.21687,0.09542,0.01275,0.97164,11.147,0.25481,0.47062,0.02412,0,0.001802,0.001802,0.001802
12,189.742,1.35068,13.9698,0.30328,0.51806,0.02412,4.19925,0.98758,0.95801,0.99324,0.71606,0.30092,0.22892,0.13712,0.02284,1.03102,11.6109,0.27393,0.32191,0.026,0,0.0017822,0.0017822,0.0017822
