epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8854,1.77031,22.7994,0.69066,1.89901,0.03793,21.4273,1,0.99822,0.995,0.52161,0,0,0,0,1.57001,23.1483,0.60515,0.42065,0.04609,0,0.00038,0.00038,0.00038
2,22.2537,1.37575,21.0993,0.59999,0.55051,0.02821,10.6719,0.99944,0.97368,0.9931,0.46693,0,0,0,0,1.84681,18.9017,0.31086,0.44488,0.05435,0,0.000772278,0.000772278,0.000772278
3,29.7316,1.4213,19.9672,0.56001,0.63885,0.03001,8.67599,0.91529,0.85321,0.9692,0.61027,0,0,0,0,1.1053,23.0234,0.30399,0.53628,0.03231,0,0.00115664,0.00115664,0.00115664
4,37.1472,1.51436,21.1874,0.51896,0.73132,0.03367,9.20945,0.81059,0.78839,0.88903,0.423,0,0,0,0,1.55224,22.2991,0.38008,1.03382,0.0478,0,0.00153307,0.00153307,0.00153307
5,45.0066,1.53028,20.4605,0.474,0.7164,0.03205,8.03928,0.60015,0.86898,0.81805,0.33428,0,0,0,0,1.75145,23.3324,0.36851,1.84974,0.05038,0,0.00190159,0.00190159,0.00190159
6,52.3571,1.65037,19.3353,0.46811,0.95707,0.03478,7.1684,0.69279,0.86842,0.78739,0.35167,0,0,0,0,2.16251,22.088,0.27677,1.11963,0.06572,0,0.001901,0.001901,0.001901
7,59.7711,1.59832,18.2808,0.4587,0.88065,0.03467,6.5873,0.51437,0.23684,0.27319,0.09608,0,0,0,0,3.16988,22.758,0.35545,2.43331,0.11315,0,0.0018812,0.0018812,0.0018812
8,67.1637,1.49724,17.1049,0.41841,0.83594,0.03136,5.77818,0.78626,0.81579,0.86899,0.48714,0.03022,0.05263,0.00202,0.0002,1.27699,13.474,0.23897,0.74759,0.03718,0,0.0018614,0.0018614,0.0018614
9,74.5453,1.52335,16.8104,0.42753,0.79375,0.03144,5.31303,0.79286,0.92105,0.8816,0.52634,0.052,0.07895,0.00488,0.00075,1.32167,13.2196,0.3151,1.06767,0.04181,0,0.0018416,0.0018416,0.0018416
10,81.8919,1.5608,16.1545,0.41654,0.73262,0.03368,4.97447,0.8347,0.9303,0.93408,0.51186,0,0,0,0,1.5154,14.3168,0.27524,1.40916,0.04415,0,0.0018218,0.0018218,0.0018218
11,89.3081,1.4401,16.0157,0.39503,0.62328,0.03076,4.79426,0.82437,0.98829,0.94372,0.41954,0.0973,0.10526,0.01105,0.00111,1.71175,12.3983,0.28617,0.8773,0.05627,0,0.001802,0.001802,0.001802
12,96.6652,1.38053,15.4845,0.38348,0.64484,0.03003,4.72369,0.86341,0.97368,0.96238,0.68622,0.08067,0.05263,0.01354,0.00151,1.0981,12.8419,0.27535,0.71277,0.03129,0,0.0017822,0.0017822,0.0017822
13,104.082,1.19808,14.423,0.36713,0.54421,0.02435,3.95718,0.96821,1,0.98038,0.66558,0.26093,0.21053,0.06202,0.01017,1.13543,10.9206,0.27856,0.3845,0.03081,0,0.0017624,0.0017624,0.0017624
14,111.459,1.17718,15.0826,0.36629,0.55673,0.02226,3.88481,0.97435,0.99972,0.99449,0.70884,0.22679,0.23684,0.07659,0.00802,1.02694,10.4564,0.27718,0.37042,0.02904,0,0.0017426,0.0017426,0.0017426
15,119.013,1.21465,14.7627,0.34816,0.50847,0.0249,4.05028,1,0.96683,0.99354,0.71523,0.43076,0.42105,0.25611,0.04775,0.95282,9.80089,0.26117,0.41631,0.02561,0,0.0017228,0.0017228,0.0017228
16,126.408,1.19774,14.6194,0.32371,0.51934,0.02485,3.95493,1,0.78757,0.95662,0.55641,0.07531,0.05263,0.00478,0.0006,1.59422,12.3716,0.2713,0.66583,0.04811,0,0.001703,0.001703,0.001703
17,133.774,1.32811,14.1479,0.35602,0.55528,0.02701,3.66177,0.97758,0.94737,0.99134,0.71257,0.64882,0.63158,0.44167,0.08333,1.05756,8.97141,0.26951,0.35926,0.02885,0,0.0016832,0.0016832,0.0016832
18,141.194,1.26407,13.9692,0.33504,0.54063,0.0269,3.64592,0.99491,1,0.995,0.6936,0.34132,0.34211,0.14034,0.0209,1.17125,10.0456,0.25917,0.3428,0.03351,0,0.0016634,0.0016634,0.0016634
19,148.532,1.17482,13.9311,0.34014,0.48295,0.0242,3.67309,0.99619,1,0.995,0.73773,0.52423,0.52632,0.27632,0.04903,0.92057,9.47725,0.2616,0.25253,0.02521,0,0.0016436,0.0016436,0.0016436
20,155.919,1.1682,14.1434,0.32893,0.45278,0.02343,3.64083,0.97159,1,0.99449,0.71465,0.55628,0.55263,0.32564,0.05904,1.08581,9.54978,0.25341,0.29245,0.02982,0,0.0016238,0.0016238,0.0016238
21,163.268,1.16914,13.4567,0.33143,0.46061,0.02306,3.15947,0.97434,0.99913,0.99449,0.75283,0.40877,0.42105,0.19293,0.02841,0.87574,9.91777,0.26559,0.2329,0.02331,0,0.001604,0.001604,0.001604
22,170.606,1.11569,13.1716,0.31241,0.43802,0.02206,3.03686,0.99659,1,0.995,0.73673,0.68101,0.68421,0.50055,0.08343,0.9371,8.4576,0.25174,0.26041,0.0269,0,0.0015842,0.0015842,0.0015842
23,178.022,1.16291,13.1434,0.3302,0.49757,0.02317,2.91039,1,0.99026,0.995,0.76145,0.6723,0.71053,0.51756,0.07889,0.85363,8.68986,0.24816,0.27695,0.02444,0,0.0015644,0.0015644,0.0015644
24,185.418,1.117,12.7037,0.32144,0.45578,0.02176,2.53074,0.99376,0.97368,0.994,0.77737,0.59805,0.63158,0.41465,0.10545,0.78684,8.28861,0.24916,0.22762,0.02263,0,0.0015446,0.0015446,0.0015446
25,192.799,1.07277,12.4172,0.33812,0.44671,0.02265,2.81466,0.99814,0.92105,0.99196,0.7445,0.39891,0.36842,0.19783,0.02801,0.79899,9.72557,0.26394,0.25217,0.02472,0,0.0015248,0.0015248,0.0015248
26,200.154,1.02923,12.7872,0.32333,0.39343,0.0198,2.60816,0.92636,1,0.98914,0.70066,0.63499,0.55263,0.3996,0.07987,0.91726,8.86327,0.25907,0.28164,0.02415,0,0.001505,0.001505,0.001505
27,207.512,1.16423,13.1386,0.31981,0.4104,0.02286,2.97071,0.86988,0.94737,0.96169,0.60221,0.5587,0.57895,0.38606,0.0649,1.42523,9.36275,0.23262,0.42059,0.03615,0,0.0014852,0.0014852,0.0014852
28,214.886,1.09264,12.8699,0.30506,0.42475,0.022,2.83619,0.92375,1,0.99146,0.73728,0.71611,0.60526,0.53558,0.13007,0.89009,8.40609,0.23179,0.28127,0.02552,0,0.0014654,0.0014654,0.0014654
29,222.267,1.03624,12.5316,0.31541,0.37241,0.02125,2.72138,1,0.99981,0.995,0.73705,0.61818,0.60526,0.42144,0.07607,0.98344,9.22929,0.25383,0.25469,0.02645,0,0.0014456,0.0014456,0.0014456
30,229.629,1.08053,12.4783,0.31094,0.41457,0.0215,2.68567,0.97434,0.99937,0.99372,0.73186,0.60332,0.60526,0.44258,0.08976,1.00784,8.4739,0.24105,0.30629,0.02607,0,0.0014258,0.0014258,0.0014258
31,236.993,1.11326,11.9994,0.29699,0.38972,0.02195,2.65883,0.99644,0.97368,0.994,0.77178,0.58453,0.63158,0.44084,0.0913,0.87344,8.58389,0.22712,0.24446,0.02409,0,0.001406,0.001406,0.001406
32,244.34,1.03083,11.8149,0.32723,0.38277,0.02038,2.45912,1,0.94364,0.99042,0.76369,0.70118,0.65789,0.54399,0.10788,0.86006,8.1592,0.25702,0.25506,0.02475,0,0.0013862,0.0013862,0.0013862
33,251.691,0.95433,12.0419,0.31064,0.34319,0.019,2.57869,0.98991,1,0.995,0.82756,0.55042,0.52632,0.31084,0.0474,0.66752,8.67013,0.24914,0.2104,0.0169,0,0.0013664,0.0013664,0.0013664
34,259.068,1.0237,11.9732,0.30863,0.37273,0.02039,2.39557,1,0.99676,0.995,0.81351,0.72601,0.71053,0.59838,0.1267,0.78372,7.77377,0.2724,0.25623,0.02046,0,0.0013466,0.0013466,0.0013466
35,266.477,0.94282,11.2388,0.3052,0.36501,0.0189,2.19924,0.97351,0.96738,0.99017,0.75623,0.74931,0.73684,0.60138,0.14646,0.8051,7.79692,0.21438,0.27976,0.0226,0,0.0013268,0.0013268,0.0013268
36,273.815,1.01634,11.7571,0.3065,0.36889,0.02,2.24208,1,0.99662,0.995,0.81935,0.78925,0.78844,0.71427,0.17521,0.7503,7.52217,0.22292,0.21062,0.01922,0,0.001307,0.001307,0.001307
37,281.243,0.96182,11.117,0.3073,0.36382,0.01875,1.97475,1,0.95476,0.994,0.82185,0.77993,0.73684,0.69941,0.18069,0.7182,7.38163,0.21642,0.21686,0.01907,0,0.0012872,0.0012872,0.0012872
38,288.652,1.00706,11.7379,0.29113,0.38369,0.02078,2.24146,0.99463,1,0.995,0.81919,0.85769,0.81579,0.74262,0.17796,0.6547,7.41281,0.22534,0.18081,0.0164,0,0.0012674,0.0012674,0.0012674
39,296.002,0.95483,11.4424,0.29879,0.342,0.0203,2.2238,0.97347,0.9656,0.99188,0.8023,0.68242,0.67869,0.55813,0.14943,0.71783,7.59818,0.22564,0.25414,0.01883,0,0.0012476,0.0012476,0.0012476
40,303.475,0.91664,11.6065,0.29288,0.37642,0.01817,2.25083,1,0.99464,0.995,0.72193,0.66475,0.68421,0.6044,0.11131,0.96107,8.59389,0.2234,0.24366,0.02947,0,0.0012278,0.0012278,0.0012278
41,310.819,0.98536,11.2826,0.30146,0.38193,0.01981,1.97989,0.9986,1,0.995,0.8152,0.78727,0.78947,0.69997,0.18694,0.61913,7.38179,0.22534,0.28365,0.0171,0,0.001208,0.001208,0.001208
