epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8971,1.43324,95.4351,0.68137,1.07941,1.62995,0.89962,0.97182,0.96677,0.54429,0,0,0,0,1.38363,86.076,0.57526,1.16602,1.64737,0.000650794,0.000650794,0.000650794
2,20.2921,1.26123,88.4596,0.57612,0.85988,1.41987,0.25277,0.62651,0.41031,0.13635,0,0,0,0,2.53332,90.3777,0.38438,2.19538,3.08,0.00130442,0.00130442,0.00130442
3,29.6743,1.38665,84.679,0.48384,0.89061,1.50019,0.6422,0.75904,0.62246,0.23915,0,0,0,0,1.96618,77.4614,0.27821,4.15492,3.06011,0.00194484,0.00194484,0.00194484
4,39.0615,1.3801,79.2867,0.45649,0.88504,1.49187,0.78467,0.79518,0.76713,0.18217,0,0,0,0,2.44868,74.7367,0.26376,1.84067,3.37149,0.0019406,0.0019406,0.0019406
5,48.4577,1.35658,76.3,0.43401,0.85451,1.4821,0.88657,0.96386,0.96609,0.61233,0.01237,0.01205,0.00024,2e-05,1.2726,65.1867,0.29861,0.95206,1.68725,0.0019208,0.0019208,0.0019208
6,57.8728,1.34453,72.6175,0.42979,0.84129,1.5026,0.952,0.9759,0.97265,0.5294,0.12413,0.12048,0.01949,0.00212,1.5119,56.7566,0.3047,0.90163,2.04516,0.001901,0.001901,0.001901
7,67.2582,1.25604,67.5045,0.42069,0.78601,1.39926,0.9692,0.93976,0.97875,0.64563,0.175,0.16867,0.04754,0.00767,1.16135,53.3518,0.29385,0.74318,1.50119,0.0018812,0.0018812,0.0018812
8,76.6654,1.24171,67.8982,0.40824,0.7965,1.42333,0.97565,0.96532,0.98895,0.65902,0.26965,0.26506,0.09831,0.01318,1.06596,51.7753,0.27684,0.68562,1.45208,0.0018614,0.0018614,0.0018614
9,86.0719,1.24184,67.9987,0.40027,0.78283,1.39833,0.99581,0.95181,0.98359,0.67087,0.38442,0.36145,0.21518,0.02674,1.14158,51.7884,0.28672,0.74133,1.46169,0.0018416,0.0018416,0.0018416
10,95.4723,1.20217,66.0841,0.39713,0.72833,1.38098,0.98574,0.89157,0.9751,0.64847,0.19516,0.16867,0.0518,0.00569,1.1246,53.5768,0.29602,1.03886,1.4459,0.0018218,0.0018218,0.0018218
11,104.851,1.19296,64.1162,0.39278,0.71098,1.38048,1,0.98759,0.985,0.7492,0.49362,0.43373,0.2509,0.03044,0.92558,48.9081,0.29892,0.57368,1.34536,0.001802,0.001802,0.001802
12,114.267,1.12749,61.0449,0.38483,0.68802,1.3478,0.96269,0.93258,0.97345,0.74202,0.41477,0.36145,0.17024,0.02858,0.91941,48.1626,0.29885,0.63876,1.33219,0.0017822,0.0017822,0.0017822
13,123.691,1.12053,59.1667,0.38072,0.66074,1.32409,0.98466,0.98795,0.9905,0.74708,0.33077,0.28916,0.09646,0.0152,0.88942,49.221,0.28394,0.54904,1.28827,0.0017624,0.0017624,0.0017624
