epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.52037,2.07466,11.6786,0.71333,2.95148,2.39038,0.99566,1,0.995,0.67085,0,0,0,0,1.02267,11.8684,0.68896,1.03258,1.87331,0.00018,0.00018,0.00018
2,11.0937,1.0962,11.815,0.69855,0.7376,1.55711,0.9127,1,0.995,0.77802,0,0,0,0,0.75183,11.837,0.6713,1.89588,1.67577,0.000376238,0.000376238,0.000376238
3,13.5774,1.00044,11.6732,0.67607,0.63896,1.48676,0.9,0.94737,0.90548,0.63421,0,0,0,0,1.18232,11.81,0.62257,3.8343,2.47371,0.000568516,0.000568516,0.000568516
4,16.0239,0.9965,11.6913,0.65485,0.63622,1.48103,0.59605,1,0.96788,0.6039,0,0,0,0,1.37451,11.5824,0.55208,3.99234,2.53054,0.000756834,0.000756834,0.000756834
5,18.4665,1.03137,11.6231,0.63892,0.70392,1.51336,0.25871,0.55138,0.33767,0.08191,0,0,0,0,2.70156,11.7172,0.49648,7.81848,4.86374,0.000941192,0.000941192,0.000941192
6,20.9094,0.93722,11.6852,0.6051,0.68459,1.43578,0.31979,0.42105,0.26898,0.08341,0,0,0,0,3.13269,11.8675,0.45397,2.11016,4.37052,0.00112159,0.00112159,0.00112159
7,23.3479,0.95254,11.5841,0.58687,0.63496,1.42257,0.6601,0.84211,0.77642,0.41402,0,0,0,0,1.82342,11.6441,0.41024,0.95666,2.98871,0.00129803,0.00129803,0.00129803
8,25.7729,1.0769,11.5675,0.57492,0.69807,1.55918,0.42043,0.31579,0.29572,0.08122,0,0,0,0,3.26523,11.7218,0.41038,1.90281,4.71579,0.00147051,0.00147051,0.00147051
9,28.2229,1.02446,11.6021,0.57892,0.67654,1.46602,0.63414,0.73008,0.62954,0.29981,0,0,0,0,2.00368,11.5936,0.46161,1.55008,3.19716,0.00163902,0.00163902,0.00163902
10,30.6678,1.02694,11.5323,0.56084,0.70884,1.46383,0.95006,1,0.995,0.51431,0,0,0,0,1.49777,11.7543,0.45992,2.10191,3.00845,0.00180358,0.00180358,0.00180358
11,33.1045,1.04733,11.4968,0.54689,0.7175,1.49177,0.87494,1,0.97424,0.70064,0,0,0,0,1.02455,11.5971,0.42148,1.52656,2.08035,0.001802,0.001802,0.001802
12,35.5598,0.94168,11.4939,0.56687,0.65513,1.40733,0.94487,0.90238,0.92579,0.51903,0,0,0,0,1.27772,11.8251,0.47105,1.24325,2.35856,0.0017822,0.0017822,0.0017822
13,37.9968,0.95837,11.5738,0.54847,0.65074,1.45316,0.60472,0.84211,0.69288,0.33223,0,0,0,0,1.65177,11.6186,0.41135,1.36586,2.66533,0.0017624,0.0017624,0.0017624
