epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2441,1.45968,23.4105,0.70705,1.76629,1.67121,0.9738,1,0.995,0.80074,0,0,0,0,0.69479,22.7141,0.66741,0.85361,1.1339,0.00038,0.00038,0.00038
2,15.1164,0.82097,22.6033,0.67072,0.55742,1.16372,0.89663,1,0.97189,0.75023,0,0,0,0,0.88579,21.368,0.57309,2.36791,1.28743,0.000772278,0.000772278,0.000772278
3,19.7748,0.83982,21.4834,0.62494,0.58846,1.19104,0.66323,1,0.80863,0.60796,0,0,0,0,0.90771,20.9929,0.4145,1.9909,1.42627,0.00115664,0.00115664,0.00115664
4,24.3842,0.89516,20.7309,0.57715,0.62987,1.23602,0.91833,1,0.97629,0.61956,0,0,0,0,0.86495,20.6062,0.34714,1.35353,1.55658,0.00153307,0.00153307,0.00153307
5,29.0043,0.8334,19.9741,0.5406,0.58043,1.17661,0.48622,0.97128,0.58701,0.35604,0,0,0,0,0.94638,21.1047,0.30787,3.37143,1.39531,0.00190159,0.00190159,0.00190159
6,33.6955,0.83204,18.9682,0.52209,0.58266,1.15589,0.9825,1,0.995,0.77832,0,0,0,0,0.67181,19.4588,0.31804,1.01408,1.11049,0.001901,0.001901,0.001901
7,38.3619,0.85051,18.7258,0.50892,0.58237,1.20242,0.97131,1,0.99244,0.71008,0,0,0,0,0.81777,16.0258,0.34554,0.69805,1.23031,0.0018812,0.0018812,0.0018812
8,43.0596,0.75788,17.2575,0.47455,0.52205,1.14322,0.99182,1,0.995,0.84853,0.02842,0.02632,0.00119,0.00012,0.63576,14.2763,0.36221,0.73435,1.17661,0.0018614,0.0018614,0.0018614
9,47.7708,0.77868,17.365,0.45952,0.54129,1.1371,1,0.99248,0.995,0.83779,0,0,0,0,0.62204,14.3558,0.35193,0.60473,1.07313,0.0018416,0.0018416,0.0018416
10,52.4176,0.78634,16.8864,0.45393,0.53329,1.1508,0.9258,0.84211,0.9527,0.75756,0,0,0,0,0.69483,15.5701,0.32932,1.23312,1.12772,0.0018218,0.0018218,0.0018218
11,57.0428,0.74524,16.7107,0.44148,0.51848,1.12633,0.99434,1,0.995,0.79574,0.05674,0.05263,0.0113,0.00113,0.65616,13.0842,0.32199,0.51779,1.13026,0.001802,0.001802,0.001802
12,61.6323,0.72355,16.1792,0.4383,0.50419,1.13515,0.97203,1,0.99167,0.84725,0.02762,0.02632,0.00208,0.00021,0.54839,13.599,0.33129,0.44533,1.03386,0.0017822,0.0017822,0.0017822
13,66.2424,0.68753,15.215,0.42964,0.47091,1.10062,0.99268,1,0.995,0.86116,0.05311,0.05263,0.00816,0.00082,0.57611,12.811,0.32252,0.63923,1.00993,0.0017624,0.0017624,0.0017624
14,70.8859,0.70527,15.3768,0.43744,0.46255,1.07643,0.9969,1,0.995,0.83199,0.59593,0.57895,0.48603,0.05682,0.56177,10.8239,0.32705,0.47288,1.04814,0.0017426,0.0017426,0.0017426
15,75.5386,0.69806,14.9548,0.42714,0.46916,1.09365,0.9981,1,0.995,0.81753,0.32167,0.31579,0.1236,0.01471,0.65954,11.3967,0.33404,0.40542,1.06057,0.0017228,0.0017228,0.0017228
16,80.1746,0.72621,14.8915,0.42008,0.48255,1.12187,0.99661,1,0.995,0.77971,0.31465,0.31579,0.18524,0.02003,0.75687,10.9814,0.3298,0.46682,1.11084,0.001703,0.001703,0.001703
17,84.8236,0.71573,14.6153,0.43007,0.47664,1.10422,0.99391,1,0.995,0.85292,0.23669,0.23684,0.06672,0.00828,0.58028,10.819,0.32787,0.45906,1.06022,0.0016832,0.0016832,0.0016832
18,89.459,0.67566,14.3429,0.40771,0.47925,1.10897,0.99824,1,0.995,0.86193,0.33477,0.31579,0.15448,0.01643,0.62058,10.3514,0.33486,0.5423,1.0545,0.0016634,0.0016634,0.0016634
19,94.102,0.67529,14.216,0.40845,0.45837,1.09629,0.99847,1,0.995,0.86742,0.42165,0.42105,0.19966,0.03352,0.49651,9.98259,0.32211,0.34801,0.99793,0.0016436,0.0016436,0.0016436
20,98.7575,0.66319,14.1962,0.39753,0.43744,1.08069,0.9964,1,0.995,0.88709,0.38232,0.34211,0.16845,0.02398,0.51026,10.3203,0.32651,0.37911,0.99374,0.0016238,0.0016238,0.0016238
21,103.434,0.63314,13.7493,0.39928,0.44383,1.06713,0.99803,1,0.995,0.86866,0.51687,0.5,0.38156,0.04952,0.57476,10.1209,0.3023,0.34561,1.03137,0.001604,0.001604,0.001604
22,108.087,0.65027,14.1504,0.39698,0.45455,1.07997,0.99839,1,0.995,0.85132,0.65009,0.60526,0.54143,0.11359,0.57302,8.97232,0.30773,0.35947,1.02205,0.0015842,0.0015842,0.0015842
23,112.758,0.69895,13.7135,0.39971,0.44673,1.10346,0.99819,1,0.995,0.87758,0.71387,0.68421,0.57294,0.12114,0.51319,8.71767,0.31322,0.33615,1.00659,0.0015644,0.0015644,0.0015644
24,117.41,0.66561,13.2271,0.40063,0.44247,1.07902,0.99644,1,0.995,0.82477,0.64544,0.60526,0.47508,0.1052,0.59406,8.83539,0.31977,0.45478,1.03533,0.0015446,0.0015446,0.0015446
25,122.025,0.62299,12.7629,0.40089,0.42988,1.07171,0.99755,1,0.995,0.88396,0.731,0.65789,0.57515,0.12312,0.51316,8.96924,0.31666,0.34659,0.99395,0.0015248,0.0015248,0.0015248
26,126.672,0.64868,12.9327,0.38897,0.42079,1.06322,0.99565,1,0.995,0.89204,0.66501,0.60526,0.49011,0.08625,0.46451,9.36535,0.31955,0.41157,0.97817,0.001505,0.001505,0.001505
27,131.324,0.64965,12.9696,0.39767,0.43394,1.06621,0.8389,0.78947,0.8636,0.48192,0.14436,0.07895,0.0315,0.00928,1.74211,13.9926,0.34828,1.84331,1.89101,0.0014852,0.0014852,0.0014852
28,135.938,0.64807,13.1609,0.37916,0.43742,1.0799,0.99716,1,0.995,0.8789,0.66027,0.63158,0.55839,0.12799,0.52684,9.33341,0.30658,0.3395,0.99713,0.0014654,0.0014654,0.0014654
29,140.554,0.64605,13.1356,0.37595,0.43043,1.07924,0.92657,0.84211,0.9098,0.72573,0.50072,0.34211,0.31737,0.07985,0.63002,12.2648,0.3376,0.54895,1.11126,0.0014456,0.0014456,0.0014456
30,145.187,0.64068,12.9882,0.37167,0.42604,1.06679,0.99671,1,0.995,0.83152,0.63231,0.55263,0.43212,0.09394,0.58719,9.55201,0.28891,0.39863,1.01068,0.0014258,0.0014258,0.0014258
31,149.807,0.6118,12.3956,0.36495,0.40423,1.0487,0.99833,1,0.995,0.85495,0.60568,0.60526,0.44824,0.06534,0.52363,9.03619,0.27812,0.33074,0.97058,0.001406,0.001406,0.001406
32,154.419,0.6295,12.3243,0.38809,0.4055,1.05572,0.99785,1,0.995,0.86588,0.71595,0.71053,0.66155,0.17247,0.50053,8.20607,0.2795,0.30991,0.98988,0.0013862,0.0013862,0.0013862
33,159.06,0.6062,12.3605,0.38019,0.3903,1.06758,0.99683,1,0.995,0.8545,0.68639,0.65789,0.57224,0.13595,0.52926,8.46561,0.29352,0.33303,1.00519,0.0013664,0.0013664,0.0013664
34,163.695,0.61138,12.3342,0.36601,0.40347,1.05234,0.99822,1,0.995,0.88308,0.72459,0.63158,0.57721,0.15187,0.47944,8.69044,0.28415,0.28714,0.98749,0.0013466,0.0013466,0.0013466
35,168.35,0.58589,12.047,0.37028,0.38887,1.03952,0.99845,1,0.995,0.90724,0.67214,0.65789,0.55946,0.16251,0.43788,8.34493,0.29046,0.29131,0.96042,0.0013268,0.0013268,0.0013268
36,172.99,0.61216,12.4597,0.37429,0.40747,1.04433,0.99846,1,0.995,0.86546,0.73612,0.73684,0.68484,0.16102,0.62199,8.68151,0.28647,0.3807,1.01985,0.001307,0.001307,0.001307
37,177.608,0.5914,11.9159,0.37578,0.38903,1.04055,0.9981,1,0.995,0.90176,0.70985,0.64401,0.57576,0.13721,0.48568,8.51229,0.27659,0.28912,0.95637,0.0012872,0.0012872,0.0012872
